,en,de,en_idiom,en_task,existing_task
249,"Like him , having returned , I can today say , "" I am back ! ""","Wie er sage ich heute bei meiner Rückkehr : "" I am back ! "" .",i say !,"translate English to German: Like him , having returned , I can today say , "" I am back ! ""","<pad> Wie er kann ich heute nach seiner Rückkehr sagen : "" Ich bin zurück! ""</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
252,"I am glad to hear you say you are considering it , Commissioner .","Ich freue mich über Ihren Hinweis , Herr Kommissar , daß Sie diese Frage derzeit prüfen .",i hear you .,"translate English to German: I am glad to hear you say you are considering it , Commissioner .","<pad> Ich freue mich, zu hören, dass Sie sagen, dass Sie darüber nachdenken, Herr Kommissar.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
254,"In this day and age , in which Schengen is becoming increasingly computerised , this should be child 's play , and it should also be possible for the citizens of Kaliningrad to benefit from the regulation on obtaining visas .","In der heutigen Zeit , in der vornehmlich in Schengen die EDV immer stürmischer Einzug hält , sollte das ein Kinderspiel sein und könnte die Ausstellung von Visa so vonstatten gehen , dass auch die Bürgerinnen und Bürger Kaliningrads davon Nutzen haben .",in this day and age,"translate English to German: In this day and age , in which Schengen is becoming increasingly computerised , this should be child 's play , and it should also be possible for the citizens of Kaliningrad to benefit from the regulation on obtaining visas .","<pad> In der heutigen Zeit, in der Schengen zunehmend computerisiert wird, sollte dies Kinderspiel sein, und es sollte auch für die Bürgerinnen und Bürger Kaliningrads möglich sein, von der Verordnung über Visaerteilung zu profitieren.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
256,"However , it is also a matter of looking inwards . It takes two to tango .","Wir müssen aber auch vor unserer eigenen Türe kehren , denn es gehören immer zwei dazu .",it takes two to tango .,"translate English to German: However , it is also a matter of looking inwards . It takes two to tango .","<pad> Aber es geht auch darum, nach innen zu schauen, es dauert zwei bis Tango.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
257,They should exchange experiences and pass on information about projects to each other .,Sie sollen Erfahrungen austauschen und einander Kenntnisse von Projekten vermitteln .,to pass on,translate English to German: They should exchange experiences and pass on information about projects to each other .,<pad> Sie sollten Erfahrungen austauschen und Informationen über Projekte aneinander weitergeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
258,"The Commission , Council and Parliament know what needs to be in a framework document of that kind .","Die Kommission , der Rat und das Parlament wissen , welche Elemente ein solches Rahmendokument enthalten muss .",to be in the know,"translate English to German: The Commission , Council and Parliament know what needs to be in a framework document of that kind .","<pad> Die Kommission, der Rat und das Parlament wissen, was in einem solchen Rahmendokument stehen muss.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
259,"Mr President , I simply wanted to pass on some news . There was a terrorist attack this morning in Madrid .","Herr Präsident , ich möchte nur mitteilen , daß es heute morgen einen Terroranschlag in Madrid gab .",to pass on,"translate English to German: Mr President , I simply wanted to pass on some news . There was a terrorist attack this morning in Madrid .",<pad> Herr Präsident!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
261,The major target to be met is that of a 30 % reduction in EU greenhouse gas emissions by 2020 compared with 1990 levels .,"Das Hauptziel , das es zu erfüllen gilt , ist das einer 30 % igen Verringerung der Treibhausgasemissionen innerhalb der EU bis zum Jahr 2020 , im Vergleich zu den Werten von 1990 .",to be a gas,translate English to German: The major target to be met is that of a 30 % reduction in EU greenhouse gas emissions by 2020 compared with 1990 levels .,"<pad> Das wichtigste Ziel, das erreicht werden muss, ist eine Senkung der Treibhausgasemissionen der EU bis 2020 um 30 % gegenüber dem Niveau von 1990.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
262,"Let us hope , indeed , that your successor will be able to hold a firm line on this point .","Wir hoffen wirklich , dass Ihr Nachfolger in dieser Frage nicht locker lässt .",to be on hold,"translate English to German: Let us hope , indeed , that your successor will be able to hold a firm line on this point .","<pad> Hoffen wir, dass Ihr Nachfolger in diesem Punkt eine feste Haltung einnehmen kann.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
263,"One would have expected , in this day and age , with the highest level of education in the European Union , this would not happen , but unfortunately it does .","Man würde denken , dass das heutzutage , wo der Bildungsstand in der Europäischen Union so hoch ist , nicht mehr geschieht , aber leider ist das nach wie vor der Fall .",in this day and age,"translate English to German: One would have expected , in this day and age , with the highest level of education in the European Union , this would not happen , but unfortunately it does .","<pad> Man hätte erwartet, dass dies heute mit dem höchsten Bildungsniveau in der Europäischen Union nicht geschehen würde, aber leider geschieht es.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
264,"In most Dalmatian towns the market is a sight for sore eyes , and Zadar 's is one of the biggest and ...",In den meisten dalmatinischen Städten ist der Marktplatz ein wahrer Genuss für alle Sinne . ...,a sight for sore eyes,"translate English to German: In most Dalmatian towns the market is a sight for sore eyes , and Zadar 's is one of the biggest and ...","<pad> In den meisten dalmatinischen Städten ist der Markt ein Sehenswert, und Zadar ist eine der größten und...</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
265,"To those who remain unconvinced , I would say : ' Read it ! '","Und denen , die immer noch nicht überzeugt sind , sage ich nur : "" Lesen Sie ihn ! """,i say !,"translate English to German: To those who remain unconvinced , I would say : ' Read it ! '","<pad> Denjenigen, die nicht überzeugt sind, würde ich sagen : "" Lesen Sie es! ""</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
266,"In a nutshell : the implosion of the brave new world of modern finance , and the economic crisis that followed , was rooted in the idea that free and unregulated capital markets always work for the public good , and are all that is needed for economic prosperity .","Um es kurz zu machen : Der Zusammenbruch der schönen neuen Welt der modernen Finanzmärkte – und die Wirtschaftskrise , die darauf folgte – entsprang der Vorstellung , dass freie und unregulierte Kapitalmärkte stets das Allgemeinwohl fördern und wirtschaftlichen Wohlstand mehren .",in a nutshell,"translate English to German: In a nutshell : the implosion of the brave new world of modern finance , and the economic crisis that followed , was rooted in the idea that free and unregulated capital markets always work for the public good , and are all that is needed for economic prosperity .","<pad> Kurzum gesagt : Die Implosion der tapferen neuen Welt des modernen Finanzwesens und die darauf folgende Wirtschaftskrise entstand in der Idee, dass freie und unregulierte Kapitalmärkte immer für das öffentliche Wohl wirken und sind alles, was für wirtschaftlichen Wohlstand erforderlich ist.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
267,"I now pass on to other matters that have been mentioned , and I return to the TACs and quotas .","Ich komme nun zu anderen Themen , die von Ihnen aufgegriffen wurden , und ich komme auf die TAC und auf die Quoten zu sprechen .",to pass on,"translate English to German: I now pass on to other matters that have been mentioned , and I return to the TACs and quotas .","<pad> Ich wende mich nun an andere Fragen weiter, die erwähnt wurden, und ich komme zurück auf die TAC und die Quoten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
268,It didn 't take long to get the ball rolling with the Volkswagen company ; the Board of Management was enthusiastic .,"Der Kontakt zum Volkswagen-Konzern war schnell aufgebaut , der Vorstand begeistert .",to get the ball rolling,translate English to German: It didn 't take long to get the ball rolling with the Volkswagen company ; the Board of Management was enthusiastic .,<pad> Der Vorstand war begeistert.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
269,"Mr President , I would like to ask you to pass this information on to the relevant authorities so that they can examine it properly and arrange the necessary remedy .","Herr Präsident , ich möchte Sie bitten , diese Information an die zuständigen Behörden weiterzugeben , damit diese das ordnungsgemäß überprüfen und die nötigen Gegenmaßnahmen einleiten können .",to pass on,"translate English to German: Mr President , I would like to ask you to pass this information on to the relevant authorities so that they can examine it properly and arrange the necessary remedy .","<pad> Herr Präsident, ich möchte Sie bitten, diese Informationen an die zuständigen Behörden weiterzugeben, damit sie sie ordnungsgemäß prüfen und die erforderlichen Maßnahmen ergreifen können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
270,"Having examined the capacity of this pipeline , we have established that , in order for it to be viable and efficient , it needs 31 billion cubic metres of gas a year .","Durch eine Untersuchung der Kapazität dieser Pipeline haben wir festgestellt , dass sie jährlich 31 Milliarden Kubikmeter Gas transportieren muss , um realisierbar und effizient zu sein .",to be a gas,"translate English to German: Having examined the capacity of this pipeline , we have established that , in order for it to be viable and efficient , it needs 31 billion cubic metres of gas a year .","<pad> Nachdem wir die Kapazität dieser Pipeline geprüft haben, haben wir festgestellt, dass es für eine lebensfähige und effiziente Pipeline jährlich 31 Milliarden Kubikmeter Gas benötigt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
271,"The Ford GT40 was actually built for the express purpose of defeating Ferrari , after Enzo Ferrari backed out of a deal to sell his company to Henry Ford II .","Der Ford GT40 wurde extra zu dem Zweck entwickelt , Ferrari zu schlagen , nachdem Enzo Ferrari Vertragsverhandlungen über die Übernahme seiner Firma durch Ford in letzter Minute abgebrochen hatte .",to sell out,"translate English to German: The Ford GT40 was actually built for the express purpose of defeating Ferrari , after Enzo Ferrari backed out of a deal to sell his company to Henry Ford II .","<pad> Der Ford GT40 wurde eigentlich zum ausdrücklichen Zweck gebaut, Ferrari zu besiegen, nachdem Enzo Ferrari aus einem Vertrag zurückgetreten ist, sein Unternehmen an Henry Ford II zu verkaufen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
272,"I know that voters in my constituency in the East Midlands will be pleased to know that Parliament is supporting continued European funds to the rural , urban and industrial heartlands of our region where lower levels of unemployment mask underlying structural and social weaknesses .","Die Wähler meines Wahlkreises in den East Midlands werden sich freuen zu hören , daß das Parlament die Bereitstellung europäischer Finanzmittel für das ländliche , städtische und industrielle Kernland unserer Region , in der geringere Arbeitslosenquoten die grundlegenden strukturellen und sozialen Probleme verschleiern , weiterhin unterstützt .",to be in the know,"translate English to German: I know that voters in my constituency in the East Midlands will be pleased to know that Parliament is supporting continued European funds to the rural , urban and industrial heartlands of our region where lower levels of unemployment mask underlying structural and social weaknesses .","<pad> Ich weiß, dass die Wähler in meinem Wahlkreis in den East Midlands erfreulicherweise wissen werden, dass das Parlament weiterhin europäische Mittel für die ländlichen, städtischen und industriellen Herzen unserer Region, in denen niedrigere Arbeitslosigkeit die strukturellen und sozialen Schwächen hinterlassen, unterstützt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
273,There you see the European crisis in a nutshell ; that is what our institutions have to overcome together .,"Das genau ist die Krise Europas , die wir als Institutionen insgesamt überwinden müssen .",in a nutshell,translate English to German: There you see the European crisis in a nutshell ; that is what our institutions have to overcome together .,"<pad> Dort sehen Sie ganz kurz die europäische Krise, das müssen unsere Institutionen gemeinsam überwinden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
