,en,de,en_idiom,en_task,idiom_task
457,"I would be interested to know whether the figures circulating in the media , which indicate that around EUR 100 million has so far been spent on developing the Schengen Information System II , are correct .","Mich würde interessieren : Stimmen die in den Medien kolportierten Zahlen , wonach bisher etwa 100 Millionen Euro in den Aufbau des Schengener Informationssystems II geflossen sind ?",to be in the know,"translate English to German with idiom: I would be interested to know whether the figures circulating in the media , which indicate that around EUR 100 million has so far been spent on developing the Schengen Information System II , are correct .","<pad> Idiom: Mich würde interessieren, ob die in den Medien umkreisenden Zahlen, die darauf hinweisen, dass bislang etwa 100 Millionen Euro für die Entwicklung des Schengener Informationssystems II ausgegeben wurden, richtig sind.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
458,"In a nutshell , Commissioner , Europe 's future will be decided by knowledge and work .","Kurz gesagt , Herr Kommissar , über Europas Zukunft entscheiden Wissen und Arbeit .",in a nutshell,"translate English to German with idiom: In a nutshell , Commissioner , Europe 's future will be decided by knowledge and work .","<pad> Kurz gesagt, Herr Kommissar, die Zukunft Europas wird durch Wissen und Arbeit beschlossen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
459,"Even those who have limited diplomatic experience know that exchange-rate fluctuations act as an indicator of neutral and depersonalized management which help to take the heat out of conflicts , while in contrast the choices , orders and discriminations of a central authority bring them to the fore and add fuel to them .","Selbst Menschen mit geringer diplomatischer Erfahrung wissen , daß Wechselkursschwankungen neutrale und objektive Beurteilungskriterien sind , die zur Konfliktentschärfung beitragen , wohingegen Entscheidungen , Befehle und Ungleichbehandlung seitens einer zentralen Behörde Konflikte erst richtig auflodern lassen .",to take the heat,"translate English to German with idiom: Even those who have limited diplomatic experience know that exchange-rate fluctuations act as an indicator of neutral and depersonalized management which help to take the heat out of conflicts , while in contrast the choices , orders and discriminations of a central authority bring them to the fore and add fuel to them .","<pad> Idiom: Selbst diejenigen, die begrenzte diplomatische Erfahrungen haben, wissen, dass Wechselkursschwankungen als Indikator für neutrale und depersonalisierte Verwaltung dienen, die dazu beitragen, Konflikte aus der Hitze zu nehmen, während die Entscheidungen, Befehle und Diskriminierungen einer zentralen Behörde sie in den Vordergrund rücken und ihnen Kraft schaffen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
460,"Therefore , if there are no further comments on this subject , we pass on to the matter raised by Mr Coates .","Wenn es also dahingehend keine weiteren Wortmeldungen gibt , gehen wir jetzt zu dem von Herrn Coates vorgebrachten Thema über .",to pass on,"translate English to German with idiom: Therefore , if there are no further comments on this subject , we pass on to the matter raised by Mr Coates .","<pad> Idiom: Wenn es also keine weiteren Bemerkungen zu diesem Thema gibt, werden wir auf die von Herrn Coates angesprochene Angelegenheit weiterleiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
461,"Take care , all data on your pc will be deleted !",Alle Daten auf dem PC werden gelöscht !,take care !,"translate English to German with idiom: Take care , all data on your pc will be deleted !","<pad> idiom: Vorsicht, alle Daten auf Ihrem PC werden gelöscht!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
462,"The Customer shall be prohibited from offering media rights to , in particular , picture materials , the offering , sale or purchase of which violates statutory provisions or public morality or infringe the rights , particularly copyrights and trademark rights , of third parties .","Dem Kunden ist es verboten , Medienrechte , insbesondere an Bildmaterialien , anzubieten , deren Angebot , Verkauf oder Erwerb gegen gesetzliche Vorschriften oder gegen die guten Sitten verstoßen oder die Rechte , insbesondere Urheber- oder Markenrechte , Dritter verletzen .",to be in the picture,"translate English to German with idiom: The Customer shall be prohibited from offering media rights to , in particular , picture materials , the offering , sale or purchase of which violates statutory provisions or public morality or infringe the rights , particularly copyrights and trademark rights , of third parties .","<pad> Idiom: Dem Kunden ist es untersagt, Medienrechte insbesondere auf Bildmaterialien anzubieten, deren Angebot, Verkauf oder Kauf gegen gesetzliche Bestimmungen oder öffentliche Moral verstoßen oder die Rechte, insbesondere Urheberrechte und Markenrechte, Dritter verletzen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
463,"For the time being , I can assure you that I will pass on your concerns to the French authorities and ask them to act quickly given the importance of this route to many heavy goods vehicles .","Im Augenblick kann ich Ihnen versichern , dass ich Ihr Anliegen an die französischen Behörden weitergeben und sie angesichts der Bedeutung dieses Übergangs für eine Vielzahl von Lkw zum schnellen Handeln auffordern werde .",to pass on,"translate English to German with idiom: For the time being , I can assure you that I will pass on your concerns to the French authorities and ask them to act quickly given the importance of this route to many heavy goods vehicles .","<pad> Idiom: Vorerst kann ich Ihnen versichern, dass ich Ihre Bedenken an die französischen Behörden weiterleiten und sie auffordern werde, angesichts der Bedeutung dieses Weges schnell zu handeln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
464,"I have read reports from virologists and vets who claim that , in this day and age , adopting a non-vaccination policy is much like sitting on a time bomb .",Mir bekannten Äusserungen von Virologen und Veterinären zufolge bedeutet das Nichtimpfen in unserer heutigen Welt eine Zeitbombe .,in this day and age,"translate English to German with idiom: I have read reports from virologists and vets who claim that , in this day and age , adopting a non-vaccination policy is much like sitting on a time bomb .","<pad> Idiom: Ich habe Berichte von Vulkanologen und Veterinärärzten gelesen, die behaupten, dass die Verabschiedung einer Nichtimpfungspolitik heutzutage wie eine Zeitbombe ist.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
466,"Mr Howitt , we shall pass on your gratitude to all those you mentioned .","Herr Howitt , wir werden Ihren Dank an all diejenigen weiterleiten , die Sie erwähnt haben .",to pass on,"translate English to German with idiom: Mr Howitt , we shall pass on your gratitude to all those you mentioned .","<pad> Herr Howitt, wir werden Ihren Dank an all diejenigen weiterleiten, die Sie erwähnt haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
467,"Through this vote , we are calling on the Lithuanian parliamentary representatives to pull themselves together and reject this text , which signals a return to a past that , personally speaking , I condemn .","Mit dieser Abstimmung fordern wir die litauischen Abgeordneten auf , sich zusammenzunehmen und diesen Text abzulehnen , der einen Rückfall in eine Vergangenheit signalisiert , die ich persönlich verurteile .",to pull together,"translate English to German with idiom: Through this vote , we are calling on the Lithuanian parliamentary representatives to pull themselves together and reject this text , which signals a return to a past that , personally speaking , I condemn .","<pad> Idiom: Mit dieser Abstimmung fordern wir die litauischen Parlamentsvertreter auf, sich zusammenzuziehen und diesen Text abzulehnen, der eine Rückkehr zu einer Vergangenheit signalisiert, die ich persönlich verurteile.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
470,"It is not easy to take part in a debate on a disease that affects over 400 000 people in Europe , with a new case every four hours .","schriftlich . - ( IT ) Es ist nicht leicht , sich in einer Debatte über eine Krankheit zu Wort zu melden , von der in Europa über 400 000 Menschen betroffen sind , wobei alle vier Stunden ein neuer Fall hinzukommt .",to take it easy,"translate English to German with idiom: It is not easy to take part in a debate on a disease that affects over 400 000 people in Europe , with a new case every four hours .","<pad> Idiom: Es ist nicht leicht, an einer Debatte über eine Krankheit teilzunehmen, die mehr als 400 000 Menschen in Europa betrifft, mit einem neuen Fall alle vier Stunden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
472,"It is unacceptable that things should be hidden from people , that the Commission , the companies and the Member States do not have free access to all information so that they can pass it on to the public .","Es ist unmöglich , daß den Menschen Dinge verheimlicht werden , daß die Kommission , die Firmen und die Mitgliedstaaten nicht freien Zugang zu allen Informationen haben und diese an die Bürger weitergeben können .",to pass on,"translate English to German with idiom: It is unacceptable that things should be hidden from people , that the Commission , the companies and the Member States do not have free access to all information so that they can pass it on to the public .","<pad> Idiom: Es ist inakzeptabel, dass Dinge vor den Menschen versteckt werden, dass die Kommission, die Unternehmen und die Mitgliedstaaten keinen freien Zugang zu allen Informationen haben, damit sie sie an die <unk> ffentlichkeit weitergeben können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
475,Only in that way will the consumer be in a position to know exactly what he or she is buying .,"Nur auf diese Weise wird der Verbraucher in die Lage versetzt , genau zu wissen , was er kauft .",to be in the know,translate English to German with idiom: Only in that way will the consumer be in a position to know exactly what he or she is buying .,"<pad> Idiom: Nur so wird der Verbraucher in der Lage sein, genau zu wissen, was er oder sie kauft.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
476,"When you start out , any discounts from suppliers are not very attractive so it is difficult to beat your competitors .","Wenn man eine Firma gründet , sind die Preisnachlässe , die Sie bei den Lieferanten erhalten können , niedrig und deswegen sind Sie weniger im Stande , mit anderen Unternehmen auf dem Markt zu konkurrieren .",to beat it,"translate English to German with idiom: When you start out , any discounts from suppliers are not very attractive so it is difficult to beat your competitors .","<pad> Idiom: Wenn Sie starten, sind alle Rabatte von Lieferanten nicht sehr attraktiv, so dass es schwierig ist, Ihre Konkurrenten zu schlagen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
477,"We know that the application procedures are to be improved and in view of the further development of the structural funds we should take what the regional representatives have said very seriously , in relation also to the findings of Gerhard Botz 's report .","Wir wissen , daß die Antragsverfahren verbessert werden sollen , und im Hinblick auf die Fortentwicklung der Strukturfonds sollten wir sehr ernst nehmen , was uns die regionalen Vertretungen auch im Rahmen der Behandlung des Berichts von Gerhard Botz gesagt haben .",to be in the know,"translate English to German with idiom: We know that the application procedures are to be improved and in view of the further development of the structural funds we should take what the regional representatives have said very seriously , in relation also to the findings of Gerhard Botz 's report .","<pad> Wir wissen, dass die Antragsverfahren verbessert werden sollen, und angesichts der weiteren Entwicklung der Strukturfonds sollten wir das, was die regionalen Vertreter gesagt haben, auch im Zusammenhang mit den Ergebnissen des Berichts Gerhard Botz sehr ernst nehmen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
478,But Arab and Western players somehow managed to convince themselves that things would not get out of hand .,"Aber arabische und westliche Akteure haben es irgendwie geschafft , sich davon zu überzeugen , dass die Dinge nicht außer Kontrolle geraten würden .",to get out of hand,translate English to German with idiom: But Arab and Western players somehow managed to convince themselves that things would not get out of hand .,"<pad> Aber arabische und westliche Akteure haben es irgendwie geschafft, sich selbst davon zu überzeugen, dass die Dinge nicht außer Kontrolle geraten würden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
479,"The science , which is over 5,000 years old , is extremely relevant in this day and age .",Die über 5.000 Jahre alte Wissenschaft hat in unserer Zeit eine besonders wertvolle Bedeutung .,in this day and age,"translate English to German with idiom: The science , which is over 5,000 years old , is extremely relevant in this day and age .","<pad> Idiom: Die Wissenschaft, die über 5.000 Jahre alt ist, ist heute äußerst relevant.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
480,We therefore ask you to pass on this message to the participants at the summit .,"Deshalb wäre unsere Bitte , dass Sie das an die Teilnehmer des Gipfels weitergeben .",to pass on,translate English to German with idiom: We therefore ask you to pass on this message to the participants at the summit .,"<pad> Wir bitten Sie daher, diese Botschaft an die Teilnehmer des Gipfels weiterzugeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
481,The environment has therefore to be factored in and I would like to know how that is going to be done .,"Die Umwelt muß deshalb als ein Faktor einbezogen werden , und ich hätte gern gewußt , wie das geschehen soll .",to be in the know,translate English to German with idiom: The environment has therefore to be factored in and I would like to know how that is going to be done .,"<pad> Idiom: Die Umwelt muss daher berücksichtigt werden, und ich möchte wissen, wie dies geschehen wird.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
483,"Mr President , I should like to pass on greetings from my colleague , Mr Dimas .",Ich möchte Ihnen herzliche Grüße von meinem Kollegen Herrn Dimas übermitteln .,to pass on,"translate English to German with idiom: Mr President , I should like to pass on greetings from my colleague , Mr Dimas .",<pad> Herr Präsident! Ich möchte die Grüße meines Kollegen Dimas übermitteln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
