,en,de,en_idiom,en_task,existing_task_finetuned
414,"The consumer , frankly , has been given little information hitherto but has been made wary by unpleasant past experiences such as the mad cow crisis and the hormone business . He tends to curl up into a ball and reject any kind of innovation , and in the light of what we have heard so far I am bound to say that I think he is right !","Die bislang sicherlich schlecht informierten Verbraucher verschließen sich aufgrund früherer schlechter Erfahrungen wie dem Rinderwahn und dem Hormonskandal ; sie verschließen sich jeglicher Innovation , und angesichts der Tatsachen , die wir bisher gehört haben , tun sie offensichtlich gut daran !",i say !,"translate English to German: The consumer , frankly , has been given little information hitherto but has been made wary by unpleasant past experiences such as the mad cow crisis and the hormone business . He tends to curl up into a ball and reject any kind of innovation , and in the light of what we have heard so far I am bound to say that I think he is right !","<pad> Der Verbraucher hat bisher zwar wenig Informationen erhalten, aber vor unangenehmen Erfahrungen in der Vergangenheit wie der Rinderwahnsinn und dem Hormongeschäft gewiss bekommen, und er lehnt jede Art von Innovation ab, und unter Berücksichtigung dessen, was wir bisher gehört haben, selbstverständlich zu sagen, er hat Recht!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
415,"Every animal has a numbered ear-tag , and if I pass the tag on with the meat , the meat can be retraced to the animal .","Jedes Tier hat eine Ohrnummer , und wenn ich diese dann an das Fleisch weitergebe , kann ich den Weg vom Fleisch zu dem Tier zurückverfolgen .",to pass on,"translate English to German: Every animal has a numbered ear-tag , and if I pass the tag on with the meat , the meat can be retraced to the animal .","<pad> Jedes Tier hat einen nummerierten Ohrtag, und wenn ich das Etikett mit dem Fleisch weitergeben, kann das Fleisch dem Tier wieder zurückverfolgen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
416,Please take your time and browse in our music shop .,Sehen Sie sich in unserem clearaudio music shop in aller Ruhe um .,please take your time .,translate English to German: Please take your time and browse in our music shop .,<pad> Nehmen Sie sich Zeit und browsen Sie in unserem Musikshop.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
417,"17 And at some period of time they will be a brought to believe in his word , and to know of the incorrectness of the traditions of their fathers ; and many of them will be saved , for the Lord will be merciful unto all who b call on his name .","17 Und sie werden dereinst dazu a gebracht werden , daß sie an sein Wort glauben und erkennen , daß die Überlieferungen ihrer Väter unrichtig waren ; und viele von ihnen werden errettet werden ; denn der Herr wird zu all denen barmherzig sein , die b seinen Namen anrufen .",to be in the know,"translate English to German: 17 And at some period of time they will be a brought to believe in his word , and to know of the incorrectness of the traditions of their fathers ; and many of them will be saved , for the Lord will be merciful unto all who b call on his name .","<pad> 17 Und zu einer Zeit werden sie a gestärkt an sein Wort glauben und von der Unkorrektheit ihrer Väter errettet werden ; und viele von ihnen werden errettet werden, denn der Herr wird allen, die an seinen Namen rufen, barmherzig sein.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
418,I would like to hear what you have to say on that as well .,Auch dazu hätte ich gern Ihre Stellungnahme gehört .,i hear you .,translate English to German: I would like to hear what you have to say on that as well .,<pad> Auch dazu hätte ich gern eine Meinung von Ihnen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
419,"Member States might make assurances in speeches that they are ready to pull together , but something quite different is evident where the action taken is concerned .","Die Mitgliedstaaten mögen in Reden versichern , dass sie bereit sind , an einem Strang zu ziehen , aber wenn es um Aktionen geht , dann zeigt sich ein ganz anderes Bild .",to pull together,"translate English to German: Member States might make assurances in speeches that they are ready to pull together , but something quite different is evident where the action taken is concerned .","<pad> Die Mitgliedstaaten könnten in Redebeiträgen zusichern, dass sie bereit sind, sich zusammenzureißen, doch bei den ergriffenen Maßnahmen ist etwas ganz anderes offensichtlich.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
420,"In a nutshell , this is the most important part of the preamble to the resolution .","Das ist , kurz gesagt , der wichtigste Teil der Präambel der Entschließung .",in a nutshell,"translate English to German: In a nutshell , this is the most important part of the preamble to the resolution .","<pad> Kurz gesagt, dies ist der wichtigste Teil der Präambel zur Entschließung.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
422,"Newsletter graffiti ... "" drive long daydreaming "" 騜children : "" a democratic country , I say !","Newsletter Graffiti ... "" Laufwerk lange daydreaming "" 騜Kinder : "" ein demokratisches Land , sage ich !",i say !,"translate English to German: Newsletter graffiti ... "" drive long daydreaming "" 騜children : "" a democratic country , I say !","<pad> Newsletter graffiti... "" drive long daydreaming "" <unk> children : "" ein demokratisches Land, ich sage!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
423,"In a nutshell , the ECF ’ s conclusion is that a continent-wide renewable power system is both technically possible and economically affordable .","Zusammengefasst lässt sich sagen , dass die Stiftung zu dem Ergebnis kommt , dass ein auf erneuerbaren Energien basierendes europaweites System sowohl technisch machbar als auch wirtschaftlich ist .",in a nutshell,"translate English to German: In a nutshell , the ECF ’ s conclusion is that a continent-wide renewable power system is both technically possible and economically affordable .","<pad> Kurz gesagt, die Schlussfolgerung des EGF lautet, dass ein kontinentalweit erneuerbares Energiesystem technisch möglich und wirtschaftlich erschwinglich ist.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
424,We know ourselves today to be taking a step in the direction of a strengthened environmentally responsible market economy .,Wir tun mit dem heutigen Schritt daher einen bewussten Schritt zur Stärkung der ökosozialen Marktwirtschaft .,to be in the know,translate English to German: We know ourselves today to be taking a step in the direction of a strengthened environmentally responsible market economy .,"<pad> Wir wissen uns heute, dass wir einen Schritt in Richtung einer verstärkten umweltverträglichen Marktwirtschaft machen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
425,I would add that the gas market should be allowed a certain amount of time in which to develop .,"Im Übrigen sollte man dem Gasmarkt auch eine gewisse Zeit lassen , um sich zu entwickeln .",to be a gas,translate English to German: I would add that the gas market should be allowed a certain amount of time in which to develop .,"<pad> Ich möchte hinzufügen, dass dem Gasmarkt eine bestimmte Zeit zur Entwicklung eingeräumt werden sollte.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
426,"In a nutshell , this report is a fine example of how we can secure broad consensus within political groups about regulating our common concerns in the future .","Zusammenfassend lässt sich sagen , dass dieser Bericht ein gutes Beispiel dafür ist , wie zwischen den Fraktionen ein breiter Konsens über die zukünftige Regelung unserer gemeinsamen Aufgaben erzielt werden kann .",in a nutshell,"translate English to German: In a nutshell , this report is a fine example of how we can secure broad consensus within political groups about regulating our common concerns in the future .","<pad> Kurz gesagt, dieser Bericht ist ein gutes Beispiel dafür, wie wir einen breiten Konsens innerhalb der Fraktionen bei der Regulierung unserer gemeinsamen Belange in der Zukunft sicherstellen können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
427,I think it would be more true to say precisely the opposite !,Das Gegenteil ist der Fall !,i say !,translate English to German: I think it would be more true to say precisely the opposite !,"<pad> Ich halte es für richtiger, genau das Gegenteil zu sagen!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
428,Louis van Gaal ( Bayern München ) : It was our aim to beat Schalke and unfortunately we didn 't manage that .,"Louis van Gaal ( Bayern München ) : Unser Ziel war es , Schalke zu schlagen . Das ist uns leider nicht gelungen .",to beat it,translate English to German: Louis van Gaal ( Bayern München ) : It was our aim to beat Schalke and unfortunately we didn 't manage that .,"<pad> Louis van Gaal ( Bayern München ) : Es war unser Ziel, Schalke zu schlagen, und leider konnten wir das nicht verwirklichen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
429,"If the Contractor safeguards the rights in accordance with the Client 's directive , the Contractor shall be obliged to pass on all information to the Client without undue delay , particularly documentation and results of controls .","Für den Fall , dass der AN die Rechte nach Weisung des AG wahrnimmt , ist der AN verpflichtet , sämtliche Informationen , insbesondere Dokumentationen und Kontrollergebnisse , unverzüglich an den AG weiterzuleiten .",to pass on,"translate English to German: If the Contractor safeguards the rights in accordance with the Client 's directive , the Contractor shall be obliged to pass on all information to the Client without undue delay , particularly documentation and results of controls .","<pad> Liegt der AN die Rechte gemäß der Richtlinie des AG zu sichern, ist er verpflichtet, sämtliche Informationen, insbesondere die Dokumentation und das Ergebnis der Kontrolle, dem AG unverzüglich an den AG weiterzugeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
433,"This picture in the opinion of your rapporteur has to be set against a background of sluggishness , of growth of only 1.9 % per year throughout the 1990s , despite instances of higher growth rates during that decade which we were , however , unable to consolidate .","Nach Ansicht des Berichterstatters muß man diese Einschätzung vor dem Hintergrund einer schwachen Konjunktur und einem jährlichen Wachstum für den gesamten Zeitraum der 90er Jahre von lediglich 1,9 % betrachten , wenngleich während dieses Jahrzehnts zeitweise höhere Wachstumsraten erzielt wurden , die jedoch nicht durchgehalten werden konnten .",to be in the picture,"translate English to German: This picture in the opinion of your rapporteur has to be set against a background of sluggishness , of growth of only 1.9 % per year throughout the 1990s , despite instances of higher growth rates during that decade which we were , however , unable to consolidate .","<pad> Dieses Bild muß nach Ansicht Ihrer Berichterstatterin vor dem Hintergrund der schwachsten Entwicklung stehen, d. h. des Wachstums in den 90er Jahren, von dem wir jedoch nicht konsolidieren konnten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
434,"Mr Juncker , please be kind enough to pass that message on to him , and also thank him for having attended Question Time during the Luxembourg Presidency .","Ich darf Sie , Herrn Juncker , bitten , ihm diese Botschaft zu überbringen und ihm auch unseren Dank für seine Anwesenheit während der Fragestunden in dem Halbjahr der luxemburgischen Präsidentschaft zu übermitteln .",to pass on,"translate English to German: Mr Juncker , please be kind enough to pass that message on to him , and also thank him for having attended Question Time during the Luxembourg Presidency .","<pad> Herr Juncker, seien Sie bitte freundlich genug, ihm diese Botschaft zu übermitteln und ihm dafür zu danken, daß er während der luxemburgischen Präsidentschaft an der Fragestunde teilgenommen hat.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
435,It is not our aim to use or pass on personal data without permission and for purposes other than those stated at the time the data was collected .,Die Nutzung / Weitergabe von persönlichen Daten erfolgt nur zu den hier angegebenen oder zu den bei einer späteren Datenerhebung ausdrücklich erklärten Zwecken .,to pass on,translate English to German: It is not our aim to use or pass on personal data without permission and for purposes other than those stated at the time the data was collected .,"<pad> Es geht nicht darum, personenbezogene Daten ohne Zustimmung und zu anderen als zu den hier angegebenen oder bei der Datenerhebung erklärten oder weiterzugeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
436,"As Liberals we would welcome one European patent in Europe , independently of the Convention , in other words without joining the Convention , thus ensuring that the European Parliament retains a democratic hold on the European patent and that European legislation can be adapted to the European patent .","Unserer Auffassung als Liberale zufolge wäre es sinnvoll , wenn Europa unabhängig von dem Übereinkommen ein einziges europäisches Patent einführte , also ohne Beitritt zu dem Übereinkommen , damit das Europäische Parlament seinen demokratischen Einfluss auf das europäische Patent wahrt und die EU-Rechtsvorschrift diesem Patent angepasst werden kann .",to be on hold,"translate English to German: As Liberals we would welcome one European patent in Europe , independently of the Convention , in other words without joining the Convention , thus ensuring that the European Parliament retains a democratic hold on the European patent and that European legislation can be adapted to the European patent .","<pad> Als Liberale würden wir ein europäisches Patent in Europa unabhängig vom Übereinkommen begrüßen, d. h. ohne dem Übereinkommen beizutreten, so dass das Europäische Parlament weiterhin demokratisch am europäischen Patent festhält und dass die europäischen Rechtsvorschriften an das europäische Patent angepasst werden können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
437,"During the Nazi years , this grand building was set on fire , to be rebuilt only in the late 90 's .",Während der Nazizeit wurde das Parlament in Brand gesetzt und Ende der neunziger Jahre wiederaufgebaut .,to be on fire,"translate English to German: During the Nazi years , this grand building was set on fire , to be rebuilt only in the late 90 's .","<pad> Während der Nazi-Jahre wurde dieses große Gebäude in Brand geraten, das erst in den späten 90er Jahren wieder aufgebaut werden soll.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
