,en,de,en_task
336,"It was just that , had it been some other Mr González , I was going to offer to pass on your comments . However , Mr Marín González now has the floor .","Nein , ich wollte mich nur anbieten , wenn es sich um einen anderen Herrn González gehandelt hätte , ihm Ihre Botschaft zu übermitteln , aber auf jeden Fall hat jetzt Herr Marín González das Wort .","translate English to German: It was just that , had it been some other Mr González , I was going to offer to pass on your comments . However , Mr Marín González now has the floor ."
337,"In the end , it &apos;s not easy to pass a sentence on &quot; Claustrophobia &quot; .",Schlussendlich ist es nicht leicht ein Urteil über &quot; Claustrophobia &quot; zu fällen .,"translate English to German: In the end , it &apos;s not easy to pass a sentence on &quot; Claustrophobia &quot; ."
339,"To put it in a nutshell , I think that the main issue that should be concerning us in the whole affair is the position of the European Central Bank which will support the currencies of the countries which are outside when they are threatened , but only sufficiently , so it tells us , to prevent a threat to the stability of the euro .","Aber , um alles auf einen Nenner zu bringen , die wichtigste Frage , die uns beschäftigen sollte , ist die Stellung der Europäischen Zentralbank , die die Währungen der Outs stärkt , wenn sie ins Rutschen kommen , aber nach eigener Aussage nur insoweit , als die Stabilität des Euro nicht gefährdet wird .","translate English to German: To put it in a nutshell , I think that the main issue that should be concerning us in the whole affair is the position of the European Central Bank which will support the currencies of the countries which are outside when they are threatened , but only sufficiently , so it tells us , to prevent a threat to the stability of the euro ."
340,"In fact , if you do not agree , I &apos;ll love to hear why in the comments .","In der Tat , wenn Sie nicht einverstanden sind , werde ich liebe , warum in den Kommentaren zu hören .","translate English to German: In fact , if you do not agree , I &apos;ll love to hear why in the comments ."
341,"Should it be necessary to pass on this data to a third party , in order to process an order , these companies will be contractually bound to conform to BDSG and the privacy policy of bredent .","Sollten im Rahmen der Auftragsdatenverarbeitung Daten an Dienstleister weitergegeben werden , so sind diese an das BDSG , andere gesetzliche Vorschriften und vertraglich an die Privacy Policy der Firma bredent gebunden .","translate English to German: Should it be necessary to pass on this data to a third party , in order to process an order , these companies will be contractually bound to conform to BDSG and the privacy policy of bredent ."
342,"The free movement of goods in an eastward direction has indeed come true – today our shops are as nice as yours , and this is fine ; Slovaks do not need to go to the West to buy exclusive goods any more .","Der freie Warenverkehr in Richtung Osten funktioniert mittlerweile : Bei uns sind die Geschäfte heute genauso schön wie bei Ihnen , und das ist gut . Die Slowaken müssen nicht mehr in den Westen fahren , wenn sie exklusive Waren kaufen möchten .","translate English to German: The free movement of goods in an eastward direction has indeed come true – today our shops are as nice as yours , and this is fine ; Slovaks do not need to go to the West to buy exclusive goods any more ."
343,What we do know that Chinese officials have never faced a challenge of this scale with such a potential to both win and lose face .,"Wir können immerhin sagen , dass die chinesischen Behörden noch nie vor einer Aufgabe dieser Größenordnung gestanden haben , die ein derartiges Potenzial bot , entweder an Profil zu gewinnen oder das Gesicht zu verlieren .",translate English to German: What we do know that Chinese officials have never faced a challenge of this scale with such a potential to both win and lose face .
344,Parliament must know the reason in order to be able to present new solutions and work out the difficult questions .,"Dazu muß das Parlament die Gründe kennen , um neue Lösungen vorstellen und die problematischen Fragen weiterbehandeln zu können .",translate English to German: Parliament must know the reason in order to be able to present new solutions and work out the difficult questions .
346,"First of all , will the Commission stand by this prior detailed market test , conducted by an independent supervisor - a question you may be able to pass on to Commissioner Kroes - is the Commission prepared to abandon this idea of an independent supervisor and this prior market test , or does it insist that it stays ?","Erstens , wird die Kommission an diesem detaillierten Ex-Ante-Test festhalten , der von einem unabhängigen Kontrollgremium durchgeführt wird - eine Frage , die Sie vielleicht an Kommissarin Kroes weiterleiten können - , ist die Kommission bereit , diese Idee eines unabhängigen Kontrollgremiums und des Ex-Ante-Tests aufzugeben oder besteht sie weiterhin darauf ?","translate English to German: First of all , will the Commission stand by this prior detailed market test , conducted by an independent supervisor - a question you may be able to pass on to Commissioner Kroes - is the Commission prepared to abandon this idea of an independent supervisor and this prior market test , or does it insist that it stays ?"
347,"Without providing any support for Saddam Hussein &apos;s dictatorship , it is our duty to pass on the mass rejection of the people which will be expressed in particular in all the capital cities on 15 February in response to the Porto Alegre forum .","Ohne in irgendeiner Weise die Diktatur von Saddam zu unterstützen , ist es unsere Pflicht , die überwältigende Ablehnung der Völker , die entsprechend dem Appell des Forums von Porto Alegre insbesondere am 15. Februar in allen Hauptstädten zum Ausdruck kommen wird , weiterzutragen .","translate English to German: Without providing any support for Saddam Hussein &apos;s dictatorship , it is our duty to pass on the mass rejection of the people which will be expressed in particular in all the capital cities on 15 February in response to the Porto Alegre forum ."
349,"It is the citizens who are calling for it , the citizens who are the true protagonists of the Europe of today , but , more importantly , the protagonists of the Europe of tomorrow , an enlarged , integrated Europe which is capable of meeting the challenge of globalisation . The success of the euro will not be sufficient on its own for us to hold our ground against the United States and the China of tomorrow .","Dies fordern die Bürger , die wahrhaften Hauptakteure des heutigen , vor allem aber des künftigen Europas , eines erweiterten und integrierten Europas , das sich der Herausforderung der Globalisierung zu stellen vermag , denn für den künftigen Wettbewerb mit den USA und mit China reicht der Erfolg , den wir mit der Einführung des Euro erzielt haben , nicht aus .","translate English to German: It is the citizens who are calling for it , the citizens who are the true protagonists of the Europe of today , but , more importantly , the protagonists of the Europe of tomorrow , an enlarged , integrated Europe which is capable of meeting the challenge of globalisation . The success of the euro will not be sufficient on its own for us to hold our ground against the United States and the China of tomorrow ."
351,Garberhof Beauty &amp; Wellness resort – a great place to say “ I love you ” !,"Garberhof Beauty &amp; Wellness Resort – ein besonderer Ort , um „ Ich liebe dich ” zu sagen .",translate English to German: Garberhof Beauty &amp; Wellness resort – a great place to say “ I love you ” !
352,"Our chemical industry is considerably more advanced than that of the United States or Japan , and we should be keen to hold on to this advantage .","Unsere chemische Industrie hat auch einen beträchtlichen Vorsprung vor den USA und Japan , den wir gerne behalten möchten .","translate English to German: Our chemical industry is considerably more advanced than that of the United States or Japan , and we should be keen to hold on to this advantage ."
353,The worst possible start would be to succumb to ideological prejudice and to pass judgment on the basis of the way in which our emotions are guided by the mass media .,"Es wäre der schlechteste Start , ideologischen Vorurteilen zu erliegen und ein Urteil auf der Grundlage der von Massenmedien gelenkten Emotionen zu treffen .",translate English to German: The worst possible start would be to succumb to ideological prejudice and to pass judgment on the basis of the way in which our emotions are guided by the mass media .
354,". – It is too late or too early to pass judgment on the Eurostat affair , to which , let it be added , there is much more than has been mentioned in the motion .","Es ist zu spät oder zu früh , um über die Eurostat-Affäre zu entscheiden , hinter der sich übrigens viel mehr verbirgt , als in dem Antrag gesagt wird .","translate English to German: . – It is too late or too early to pass judgment on the Eurostat affair , to which , let it be added , there is much more than has been mentioned in the motion ."
355,I would ask you to pass on this request to the Bureau .,"Dies wäre meine Bitte , die ich über Sie an das Präsidium richte .",translate English to German: I would ask you to pass on this request to the Bureau .
356,"( Applause , and protests from the far right ) It is in that context and in a spirit of profound friendship and respect for the Austrian people that we will listen carefully to the message you wished to pass on to the European Parliament .","( Beifall , Protest von ganz rechts ) Dessen eingedenk werden wir im Geist tiefer Freundschaft und Achtung gegenüber dem österreichischen Volk die Botschaft , die Sie dem Europäischen Parlament überbringen möchten , aufmerksam verfolgen .","translate English to German: ( Applause , and protests from the far right ) It is in that context and in a spirit of profound friendship and respect for the Austrian people that we will listen carefully to the message you wished to pass on to the European Parliament ."
357,"Take the instrument meteorological conditions ( IMC ) rating , which I myself hold : the certification that allows UK private pilots to fly by using a plane &apos;s instruments to fly in more unfavourable weather conditions - well , I understand that is now under threat from EASA .","Nehmen Sie beispielsweise die Instrumentenwetterbedingungen ( IMC ) , die ich selbst nutze : Das Zertifikat , das es britischen Hobbyfliegern ermöglicht , mit Hilfe des Instrumentenflugs auch bei ungünstigen Wetterbedingungen zu fliegen , will die EASA meines Wissens abschaffen .","translate English to German: Take the instrument meteorological conditions ( IMC ) rating , which I myself hold : the certification that allows UK private pilots to fly by using a plane &apos;s instruments to fly in more unfavourable weather conditions - well , I understand that is now under threat from EASA ."
358,"We advocate the definition of clear guidelines on the best way of collaborating to promote political stability , fight climate change , manage migratory flows and prevent natural disasters .","Wir befürworten die Definition klarer Leitlinien auf dem besten Weg für die Zusammenarbeit und zur Förderung politischer Stabilität , den Kampf gegen den Klimawandel , Steuerung von Einwanderungsströmen und Vorbeugung von Naturkatastrophen .","translate English to German: We advocate the definition of clear guidelines on the best way of collaborating to promote political stability , fight climate change , manage migratory flows and prevent natural disasters ."
359,"You can be sure that we will not pass on your data to any third parties , but will use such data exclusively for contract performance and customer support purposes within our group companies .","Sie haben die Sicherheit , dass wir Ihre Daten nicht an Dritte weitergeben , sondern diese ausschließlich innerhalb unserer Konzerngesellschaften für die Vertragsabwicklung und zur Kundenbetreuung verwenden .","translate English to German: You can be sure that we will not pass on your data to any third parties , but will use such data exclusively for contract performance and customer support purposes within our group companies ."
362,"I wonder how anyone can possibly think of blocking these funds , and I call on the Italian Members in particular - who were , moreover , elected by the people of Campania - not to fly into an ideological rage or penalise their fellow citizens .","Ich frage mich , wie jemand überhaupt darauf kommen kann , diese Fördermittel zu sperren , und ich fordere insbesondere die italienischen Abgeordneten - die zudem von den Menschen in Kampanien gewählt wurden - dazu auf , sich nicht überstürzt und blind von irgendwelchen Ideologien leiten zu lassen oder ihre Mitbürgerinnen und Mitbürger zu bestrafen .","translate English to German: I wonder how anyone can possibly think of blocking these funds , and I call on the Italian Members in particular - who were , moreover , elected by the people of Campania - not to fly into an ideological rage or penalise their fellow citizens ."
363,This might be a good time to pass that point on to the Council .,"Das könnte ein guter Zeitpunkt sein , um diese Frage an den Rat weiterzuleiten .",translate English to German: This might be a good time to pass that point on to the Council .
364,Browse all Places to Go !,Klicken Sie hier um zu allen Ausflugszielen zu kommen !,translate English to German: Browse all Places to Go !
365,"Finally , to discover the places to see outside town , we advise you to go by bicycle , but there will be so many things to see and explore that you ’ ll be pushing the bike more than you ’ ll actually be riding it !","Um die kleineren Orte um Colle Val d ’ Elsa herum zu besichtigen , können Sie ein Fahrrad ausleihen . Sicher müssen Sie Ihr Fahrrad öfter den Berg hinauf schieben und kommen langsamer voran als mit dem Auto .","translate English to German: Finally , to discover the places to see outside town , we advise you to go by bicycle , but there will be so many things to see and explore that you ’ ll be pushing the bike more than you ’ ll actually be riding it !"
366,"It is important not to close the door to Turkey , which can be said to be Europe &apos;s link to the Muslim world .","Es ist wichtig , nicht die Tür zur Türkei zu verschließen , die Europas Verbindung zur muslimischen Welt genannt werden kann .","translate English to German: It is important not to close the door to Turkey , which can be said to be Europe &apos;s link to the Muslim world ."
367,"I shall now pass on to other points , Mr President , Commissioner .","Herr Präsident , Herr Kommissar , ich komme nun auf weitere Punkte zu sprechen .","translate English to German: I shall now pass on to other points , Mr President , Commissioner ."
368,"Mr President , my colleague , Mr Monti , has asked me to pass on his regrets to Parliament for his absence and to respond on his behalf .","Herr Präsident , mein Kollege Monti bedauert es sehr , dass er nicht selbst hier sein kann , und er hat mich gebeten , an seiner Stelle auf Ihre Fragen zu antworten .","translate English to German: Mr President , my colleague , Mr Monti , has asked me to pass on his regrets to Parliament for his absence and to respond on his behalf ."
369,Does Hapag-Lloyd AG pass the information it collects on to third parties ?,Gibt die Hapag-Lloyd AG die gesammelten Informationen an Dritte weiter ?,translate English to German: Does Hapag-Lloyd AG pass the information it collects on to third parties ?
370,"Could you give me an explanation , that I can pass on , as to why the mini-session has been changed ?","Könnten Sie mir eine Erklärung geben , die ich auch weitergeben kann , warum die Mini-Tagung verlegt wurde ?","translate English to German: Could you give me an explanation , that I can pass on , as to why the mini-session has been changed ?"
371,"If you wish to have an accomodation around these stations , please have a look on our offers !","Wenn Sie in derer Nähe eine Unterkunft suchen , dann schauen Sie bitte unseren Angebot an .","translate English to German: If you wish to have an accomodation around these stations , please have a look on our offers !"
372,"Madam President , I strongly urge the European Parliament to pass a resolution calling on all the parties to act on this hard-won compromise and to adhere strictly to its terms .","Ich appellieren dringend an das Europäische Parlament , sämtliche Parteien dazu aufzufordern , diesen mühsam erzielten Kompromiß auch tatsächlich und strikt zur Ausführung zu bringen .","translate English to German: Madam President , I strongly urge the European Parliament to pass a resolution calling on all the parties to act on this hard-won compromise and to adhere strictly to its terms ."
373,"In this day and age , however , Big Brother will not appear , Mr President , because some dictatorship puts him there . Big Brother will do so because our whole lives are now recorded in the form of electronic traces on the Internet .","Dabei werden wir in der heutigen Zeit nicht vom &quot; Big Brother &quot; beobachtet , Herr Präsident , weil irgendeine Diktatur dies so wünscht , sondern weil unser gesamtes Leben im Internet nunmehr in Form elektronischer Spuren aufgezeichnet wird .","translate English to German: In this day and age , however , Big Brother will not appear , Mr President , because some dictatorship puts him there . Big Brother will do so because our whole lives are now recorded in the form of electronic traces on the Internet ."
374,"Another example referred to just now by a colleague is the USSR under Stalin , who , without batting an eyelid , signed a splendid Universal Declaration of Human Rights at the San Francisco Conference . Having a Gulag that contained millions of prisoners did not embarrass him in the least .","Ein weiteres Beispiel wurde soeben von einem Kollegen angeführt : Die Sowjetunion unter Stalin , der ohne mit der Wimper zu zucken eine großartige universelle Erklärung der Menschenrechte bei der Konferenz von San Francisco unterzeichnet hat , was ihn nicht im geringsten davon abhielt , ein Gulag mit Millionen Gefangener zu haben .","translate English to German: Another example referred to just now by a colleague is the USSR under Stalin , who , without batting an eyelid , signed a splendid Universal Declaration of Human Rights at the San Francisco Conference . Having a Gulag that contained millions of prisoners did not embarrass him in the least ."
377,"So I say , thank you , Switzerland !","Also sage ich , vielen Dank , Schweizerische Eidgenossenschaft !","translate English to German: So I say , thank you , Switzerland !"
379,Another fundamental European value is that we must not pass on our debts to our children and grandchildren .,"Ein anderer wesentlicher europäischer Wert ist , dass wir unsere Schulden nicht an unsere Kinder und Enkel weitergeben dürfen .",translate English to German: Another fundamental European value is that we must not pass on our debts to our children and grandchildren .
380,"Indeed , it is easy to let emotions take over when we discuss matters such as this , but I would remind you that this is a legislative House and that we have to respect the rules we make .","Bei einem Thema wie diesem ist es nämlich leicht , den Gefühlen nachzugeben , doch möchte ich daran erinnern , dass wir eine gesetzgebende Versammlung sind , die nicht nur die Regeln diktiert , sondern sie auch befolgen sollte .","translate English to German: Indeed , it is easy to let emotions take over when we discuss matters such as this , but I would remind you that this is a legislative House and that we have to respect the rules we make ."
381,We need the big picture to be put in place to convince people what the nature of this historic project is of .,"Wir müssen den Menschen eine konkrete Vorstellung davon vermitteln , worum es bei diesem historischen Projekt geht .",translate English to German: We need the big picture to be put in place to convince people what the nature of this historic project is of .
383,"Finally , following the Commission &apos;s announcement that it intends to withdraw the draft agreement with Tanzania , I must pass on the request from the sector that it do all it can to continue negotiations with this country : they are vital to provide the tuna fleet with fishing grounds in this area of Africa through a number of agreements with adjoining exclusive economic zones .","Schließlich , und angesichts der Absicht der Kommission , den Entwurf des Abkommens mit Tansania zurückzuziehen , muss ich ihr die Bitte des Sektors übermitteln , alles in ihren Kräften Stehende zu tun , um die Verhandlungen mit diesem Land fortzusetzen : Sie sind lebenswichtig , damit in dieser afrikanischen Region Fischfanggründe für die Thunfischflotte durch eine Zahl von Abkommen mit benachbarten ausschließlichen Wirtschaftsgebieten gesichert werden können .","translate English to German: Finally , following the Commission &apos;s announcement that it intends to withdraw the draft agreement with Tanzania , I must pass on the request from the sector that it do all it can to continue negotiations with this country : they are vital to provide the tuna fleet with fishing grounds in this area of Africa through a number of agreements with adjoining exclusive economic zones ."
385,One route you can take is to go east - west ( or vice versa ) from one side of the park to the other .,"Eine Route , welche Sie nehmen können , führt Sie von einer Seite des Parks zu der anderen .",translate English to German: One route you can take is to go east - west ( or vice versa ) from one side of the park to the other .
386,Inflation futures appear to be gaining hold in part because the new contract is traded on an efficient electronic market ( the Globex system ) that allows futures contracts to get going without the initial splash that is required by open-outcry pit-based futures markets .,"Inflations-Futures scheinen teilweise an Einfluss zu gewinnen , weil der neue Kontrakt auf einem effizienten elektronischen Markt ( dem Globex-System ) gehandelt wird , durch den Terminkontrakte ohne die große anfängliche Aufmachung in Gang kommen können , die auf den Terminmärkten mit offenem Zuruf auf dem Parkett erforderlich ist .",translate English to German: Inflation futures appear to be gaining hold in part because the new contract is traded on an efficient electronic market ( the Globex system ) that allows futures contracts to get going without the initial splash that is required by open-outcry pit-based futures markets .
387,"In a nutshell , I can say that , in spite of the criticism that the Stability and Growth Pact was practically dead , the new Stability and Growth Pact has proved to be functional and alive .","Kurz gefasst kann ich sagen : Trotz der Kritik , dass der Stabilitätspakt praktisch tot wäre , hat es sich gerade erwiesen , dass der neue Wirtschafts- und Stabilitätspakt funktioniert und dass er lebt .","translate English to German: In a nutshell , I can say that , in spite of the criticism that the Stability and Growth Pact was practically dead , the new Stability and Growth Pact has proved to be functional and alive ."
388,"After the electoral fraud last year which allowed General Eyadema to hold on to power , we are right to be worried about the democratic intentions of this regime .","Nach dem Wahlbetrug vom vergangenen Jahr , durch den General Eyadema weiter an der Macht bleiben konnte , gibt es Anlaß zu berechtigten Bedenken , was den Willen dieses Regimes zur Demokratisierung betrifft .","translate English to German: After the electoral fraud last year which allowed General Eyadema to hold on to power , we are right to be worried about the democratic intentions of this regime ."
389,I hope he will pass on our thanks to his other colleagues who are also leaving .,"Ich bitte ihn , auch seinen ebenfalls scheidenden Kollegen unseren Dank zu übermitteln .",translate English to German: I hope he will pass on our thanks to his other colleagues who are also leaving .
391,"Commissioner , I would be interested to know how the Commission is attempting to confront these issues in the long term .","Frau Kommissarin , ich würde gerne wissen , wie die Kommission diese Fragen langfristig angehen will .","translate English to German: Commissioner , I would be interested to know how the Commission is attempting to confront these issues in the long term ."
392,"Mr MacCormick , I will , of course , pass on your comments to the translation service , which will align the different language versions with the original version , which is the English text .","Werter Herr Kollege , ich werde Ihren Beitrag natürlich dem Sprachendienst zuleiten , der sich nach der ursprünglichen Fassung richten wird , also der englischen Fassung .","translate English to German: Mr MacCormick , I will , of course , pass on your comments to the translation service , which will align the different language versions with the original version , which is the English text ."
393,Increasingly larger aircraft with greater numbers of pax on board means that the fire fighting techniques must be optimized to prevent serious loss of life .,"Zunehmend größere Flugzeuge mit immer mehr Passagieren an Bord schlussfolgern , dass die Technik der Brandbekämpfung optimiert werden muss um Tod und Verletzungen zu verhindern .",translate English to German: Increasingly larger aircraft with greater numbers of pax on board means that the fire fighting techniques must be optimized to prevent serious loss of life .
394,In the end we all know that there has to be a regional solution .,"Letztlich ist uns allen klar , dass eine regionale Lösung gefunden werden muss .",translate English to German: In the end we all know that there has to be a regional solution .
395,"Can I say &apos; Slàinte mhaith &apos; to yourself , and good health !","Gestatten Sie mir , Ihnen &quot; Slàinte mhaith &quot; zuzurufen und gute Gesundheit zu wünschen !","translate English to German: Can I say &apos; Slàinte mhaith &apos; to yourself , and good health !"
396,"Heat the oil in the meantime to take the stem leaves of sage , the first dip in batter and then in hot oil .","Das Öl in der Zwischenzeit an den Stamm nehmen Salbeiblätter , die erste Runde im Teig und dann in heißem Öl .","translate English to German: Heat the oil in the meantime to take the stem leaves of sage , the first dip in batter and then in hot oil ."
398,"Mothers do not pass on to young women the fact that camomile can be used when bathing a baby , because of its disinfectant properties .","Mütter geben an junge Frauen nicht mehr das Wissen weiter , dass Kamille beim Baden eines Babys zur Desinfektion verwendet werden kann .","translate English to German: Mothers do not pass on to young women the fact that camomile can be used when bathing a baby , because of its disinfectant properties ."
399,KITCHENER does not pass on customer data to third parties .,KITCHENER gibt keine Daten an Dritte weiter .,translate English to German: KITCHENER does not pass on customer data to third parties .
402,"In a nutshell , our regulatory system to combat terrorism is extremely untransparent : I am unable to navigate through it and I hope that terrorists are also unable to find their bearings amongst all this confusion .","Kurz gesagt , unser Rechtsrahmen zur Bekämpfung des Terrorismus ist überaus intransparent . Ich finde mich dort nicht zurecht , und ich hoffe , Terroristen können sich bei diesem Durcheinander ebenso wenig orientieren .","translate English to German: In a nutshell , our regulatory system to combat terrorism is extremely untransparent : I am unable to navigate through it and I hope that terrorists are also unable to find their bearings amongst all this confusion ."
403,"You wish to pass on your assets to your heirs , but you also want them to accept the values and aspirations associated with your inheritance .","Sie möchten Ihr Vermögen an Ihre Nachkommen weitergeben , wünschen aber zugleich , dass diese die Werte und Bestrebungen akzeptieren , die mit dem Erbe verbunden sind .","translate English to German: You wish to pass on your assets to your heirs , but you also want them to accept the values and aspirations associated with your inheritance ."
405,"This street is full of bars , clubs and theaters and we will show you the best not tourist trap night places to go out !","In dieser Straße befinden sich viele feine Cafes , Bars , Clubs und Theater . Dort gibt es dann auch ein paar Insidertips für ein geselliges Nachtleben !","translate English to German: This street is full of bars , clubs and theaters and we will show you the best not tourist trap night places to go out !"
407,It will be published in special section named Interview and the visitors will be capable to know about your company the interesting and useful for them information .,"Diese Daten werden in einer Sonderrubrik „ Interviews “ widerspiegelt , und jeder Nutzer kann jede für ihn nützliche Information über Ihre Gesellschaft erfahren .",translate English to German: It will be published in special section named Interview and the visitors will be capable to know about your company the interesting and useful for them information .
408,We needed to think outside the box .,Wir mussten das gängige Denkmuster verlassen .,translate English to German: We needed to think outside the box .
410,"Then we see that we are confronted in the picture with a picture of ourselves through the others , to be in the picture ourselves in the others &apos; picture .","Wie sehen dann , dass wir im Bilde das Bild von uns durch die Anderen vorgehalten bekommen , um im Bilde der Anderen selbst im Bilde zu sein .","translate English to German: Then we see that we are confronted in the picture with a picture of ourselves through the others , to be in the picture ourselves in the others &apos; picture ."
412,Nobody wants to buy a pig in a poke .,Niemand kauft gerne die Katze im Sack .,translate English to German: Nobody wants to buy a pig in a poke .
413,"Traversing extremely rough terrain with 200 tunnels and bridges , it promises to cut the transit time by three or four hours .","Sie durchquert mit 200 Tunneln und Brücken extrem raues Gebiet und verspricht , die Reisezeit um drei bis vier Stunden zu kürzen .","translate English to German: Traversing extremely rough terrain with 200 tunnels and bridges , it promises to cut the transit time by three or four hours ."
414,"The consumer , frankly , has been given little information hitherto but has been made wary by unpleasant past experiences such as the mad cow crisis and the hormone business . He tends to curl up into a ball and reject any kind of innovation , and in the light of what we have heard so far I am bound to say that I think he is right !","Die bislang sicherlich schlecht informierten Verbraucher verschließen sich aufgrund früherer schlechter Erfahrungen wie dem Rinderwahn und dem Hormonskandal ; sie verschließen sich jeglicher Innovation , und angesichts der Tatsachen , die wir bisher gehört haben , tun sie offensichtlich gut daran !","translate English to German: The consumer , frankly , has been given little information hitherto but has been made wary by unpleasant past experiences such as the mad cow crisis and the hormone business . He tends to curl up into a ball and reject any kind of innovation , and in the light of what we have heard so far I am bound to say that I think he is right !"
415,"Every animal has a numbered ear-tag , and if I pass the tag on with the meat , the meat can be retraced to the animal .","Jedes Tier hat eine Ohrnummer , und wenn ich diese dann an das Fleisch weitergebe , kann ich den Weg vom Fleisch zu dem Tier zurückverfolgen .","translate English to German: Every animal has a numbered ear-tag , and if I pass the tag on with the meat , the meat can be retraced to the animal ."
416,Please take your time and browse in our music shop .,Sehen Sie sich in unserem clearaudio music shop in aller Ruhe um .,translate English to German: Please take your time and browse in our music shop .
417,"17 And at some period of time they will be a brought to believe in his word , and to know of the incorrectness of the traditions of their fathers ; and many of them will be saved , for the Lord will be merciful unto all who b call on his name .","17 Und sie werden dereinst dazu a gebracht werden , daß sie an sein Wort glauben und erkennen , daß die Überlieferungen ihrer Väter unrichtig waren ; und viele von ihnen werden errettet werden ; denn der Herr wird zu all denen barmherzig sein , die b seinen Namen anrufen .","translate English to German: 17 And at some period of time they will be a brought to believe in his word , and to know of the incorrectness of the traditions of their fathers ; and many of them will be saved , for the Lord will be merciful unto all who b call on his name ."
418,I would like to hear what you have to say on that as well .,Auch dazu hätte ich gern Ihre Stellungnahme gehört .,translate English to German: I would like to hear what you have to say on that as well .
419,"Member States might make assurances in speeches that they are ready to pull together , but something quite different is evident where the action taken is concerned .","Die Mitgliedstaaten mögen in Reden versichern , dass sie bereit sind , an einem Strang zu ziehen , aber wenn es um Aktionen geht , dann zeigt sich ein ganz anderes Bild .","translate English to German: Member States might make assurances in speeches that they are ready to pull together , but something quite different is evident where the action taken is concerned ."
420,"In a nutshell , this is the most important part of the preamble to the resolution .","Das ist , kurz gesagt , der wichtigste Teil der Präambel der Entschließung .","translate English to German: In a nutshell , this is the most important part of the preamble to the resolution ."
422,"Newsletter graffiti ... &quot; drive long daydreaming &quot; 騜children : &quot; a democratic country , I say !","Newsletter Graffiti ... &quot; Laufwerk lange daydreaming &quot; 騜Kinder : &quot; ein demokratisches Land , sage ich !","translate English to German: Newsletter graffiti ... &quot; drive long daydreaming &quot; 騜children : &quot; a democratic country , I say !"
423,"In a nutshell , the ECF ’ s conclusion is that a continent-wide renewable power system is both technically possible and economically affordable .","Zusammengefasst lässt sich sagen , dass die Stiftung zu dem Ergebnis kommt , dass ein auf erneuerbaren Energien basierendes europaweites System sowohl technisch machbar als auch wirtschaftlich ist .","translate English to German: In a nutshell , the ECF ’ s conclusion is that a continent-wide renewable power system is both technically possible and economically affordable ."
424,We know ourselves today to be taking a step in the direction of a strengthened environmentally responsible market economy .,Wir tun mit dem heutigen Schritt daher einen bewussten Schritt zur Stärkung der ökosozialen Marktwirtschaft .,translate English to German: We know ourselves today to be taking a step in the direction of a strengthened environmentally responsible market economy .
425,I would add that the gas market should be allowed a certain amount of time in which to develop .,"Im Übrigen sollte man dem Gasmarkt auch eine gewisse Zeit lassen , um sich zu entwickeln .",translate English to German: I would add that the gas market should be allowed a certain amount of time in which to develop .
426,"In a nutshell , this report is a fine example of how we can secure broad consensus within political groups about regulating our common concerns in the future .","Zusammenfassend lässt sich sagen , dass dieser Bericht ein gutes Beispiel dafür ist , wie zwischen den Fraktionen ein breiter Konsens über die zukünftige Regelung unserer gemeinsamen Aufgaben erzielt werden kann .","translate English to German: In a nutshell , this report is a fine example of how we can secure broad consensus within political groups about regulating our common concerns in the future ."
427,I think it would be more true to say precisely the opposite !,Das Gegenteil ist der Fall !,translate English to German: I think it would be more true to say precisely the opposite !
428,Louis van Gaal ( Bayern München ) : It was our aim to beat Schalke and unfortunately we didn &apos;t manage that .,"Louis van Gaal ( Bayern München ) : Unser Ziel war es , Schalke zu schlagen . Das ist uns leider nicht gelungen .",translate English to German: Louis van Gaal ( Bayern München ) : It was our aim to beat Schalke and unfortunately we didn &apos;t manage that .
429,"If the Contractor safeguards the rights in accordance with the Client &apos;s directive , the Contractor shall be obliged to pass on all information to the Client without undue delay , particularly documentation and results of controls .","Für den Fall , dass der AN die Rechte nach Weisung des AG wahrnimmt , ist der AN verpflichtet , sämtliche Informationen , insbesondere Dokumentationen und Kontrollergebnisse , unverzüglich an den AG weiterzuleiten .","translate English to German: If the Contractor safeguards the rights in accordance with the Client &apos;s directive , the Contractor shall be obliged to pass on all information to the Client without undue delay , particularly documentation and results of controls ."
433,"This picture in the opinion of your rapporteur has to be set against a background of sluggishness , of growth of only 1.9 % per year throughout the 1990s , despite instances of higher growth rates during that decade which we were , however , unable to consolidate .","Nach Ansicht des Berichterstatters muß man diese Einschätzung vor dem Hintergrund einer schwachen Konjunktur und einem jährlichen Wachstum für den gesamten Zeitraum der 90er Jahre von lediglich 1,9 % betrachten , wenngleich während dieses Jahrzehnts zeitweise höhere Wachstumsraten erzielt wurden , die jedoch nicht durchgehalten werden konnten .","translate English to German: This picture in the opinion of your rapporteur has to be set against a background of sluggishness , of growth of only 1.9 % per year throughout the 1990s , despite instances of higher growth rates during that decade which we were , however , unable to consolidate ."
434,"Mr Juncker , please be kind enough to pass that message on to him , and also thank him for having attended Question Time during the Luxembourg Presidency .","Ich darf Sie , Herrn Juncker , bitten , ihm diese Botschaft zu überbringen und ihm auch unseren Dank für seine Anwesenheit während der Fragestunden in dem Halbjahr der luxemburgischen Präsidentschaft zu übermitteln .","translate English to German: Mr Juncker , please be kind enough to pass that message on to him , and also thank him for having attended Question Time during the Luxembourg Presidency ."
