,en,de,en_idiom,de_idiom,en_task,de_translation_t5
499,This is about keeping the present state of our activities in place until we know enough to be more confident about expanding them safely .,"Hierbei geht es darum , den aktuellen Stand unserer Aktivitäten zu erhalten , bis wir genug wissen , um sie auf einer sichereren Grundlage auszuweiten .",to be in the know,im bild / bilde sein,translate to german: This is about keeping the present state of our activities in place until we know enough to be more confident about expanding them safely .,"<pad> Hier geht es darum, den gegenwärtigen Stand unserer Aktivitäten zu"
500,It was impossible to close the bathroom door because it was broken and the water sink didn &apos;t work properly .,"Das Hotel bedarf einer technischen und optischen Renovierung , ist zur Zeit völlig ausgelutscht .",to close the door,die tür hinter sich zumachen,translate to german: It was impossible to close the bathroom door because it was broken and the water sink didn &apos;t work properly .,"<pad> Es war unmöglich, die Toilette zu schließen, weil sie gebrochen war und"
501,"Although it is certainly to soon to pass judgment on how the Convention is working in practice , there has already been a feeling for some time that a legal instrument is needed to support the implementation of the Convention by providing for fingerprints to be taken from asylum-seekers so that these prints can be compared by a central office .","Obwohl ein Urteil über das Funktionieren des Übereinkommens in der Praxis sicherlich verfrüht ist , wurde es bereits seit einiger Zeit für sinnvoll gehalten , ein Rechtsinstrument einzuführen , mit dem die Anwendung des Übereinkommens dadurch unterstützt wird , daß vorgesehen wird , die Fingerabdrücke der Asylbewerber abzunehmen und diese Abdrücke durch eine zentrale Stelle vergleichen zu lassen .",to pass on,das zeitliche segnen,"translate to german: Although it is certainly to soon to pass judgment on how the Convention is working in practice , there has already been a feeling for some time that a legal instrument is needed to support the implementation of the Convention by providing for fingerprints to be taken from asylum-seekers so that these prints can be compared by a central office .","<pad> Obwohl es sicherlich bald sein wird, ein Urteil darüber abzugeben, wie"
502,"Many accommodation facilities are available in Siena , which can be , know to the tourist with the help of Isoladelba.tv.","Siena nahm an zahlreichen Kriegen gegen Florenz teil und erlangte im 13. Jhr . , unter dem Konzil der Neun , Ruhm und Wohlergehen .",to be in the know,im bild / bilde sein,"translate to german: Many accommodation facilities are available in Siena , which can be , know to the tourist with the help of Isoladelba.tv.","<pad> In Siena gibt es viele Unterkünfte, die"
503,"It is not yet altogether straightforward to pass final judgment on the elements of this new process , but one thing can be said today , albeit with a great deal of caution , and that is that the Member States have in their national reform programmes , basically allowed themselves to be guided by the priorities set out in the integrated economic guidelines , as has the Commission with its proposal for a Community action programme .","Es ist noch nicht ganz einfach , die Elemente dieses neuen Prozesses abschließend zu beurteilen , aber eines kann man – mit aller Vorsicht – schon heute sagen : Die Mitgliedstaaten haben sich in ihren nationalen Reformprogrammen im Wesentlichen an den Prioritäten orientiert , die in den integrierten ökonomischen Leitlinien vorgegeben waren , und die Kommission hat mit ihrem Vorschlag für ein Gemeinschaftsaktionsprogramm dasselbe getan .",to pass on,das zeitliche segnen,"translate to german: It is not yet altogether straightforward to pass final judgment on the elements of this new process , but one thing can be said today , albeit with a great deal of caution , and that is that the Member States have in their national reform programmes , basically allowed themselves to be guided by the priorities set out in the integrated economic guidelines , as has the Commission with its proposal for a Community action programme .","<pad> Es ist noch nicht ganz einfach, ein endgültiges Urteil über die Elemente diese"
504,Intel sponsors top clans and events to help raise the bar of competitive gaming .,"Intel sponsert Top-Clans und -Events , um die Messlatte des Wettkampfgaming noch höher zu legen .",to raise the bar,( sich ) hohe ziele setzen,translate to german: Intel sponsors top clans and events to help raise the bar of competitive gaming .,"<pad> Intel sponsert hochrangige Clans und Events, um die Bar"
505,So this is your chance to save some money . Only available as long as stock lasts - the Solisto.Basic is already sold out !,Generation ist äußerst ausgereift und jetzt zum Sonderpreis zu haben - nur solange der Vorrat reicht und der Solisto.Basic ist schon ausverkauft !,this is your chance .,sie sind gefragt .,translate to german: So this is your chance to save some money . Only available as long as stock lasts - the Solisto.Basic is already sold out !,<pad> Die Solisto.Basic ist bereits ausverkauft!</s> <pad> <pad> <pad> <pad>
506,"– Mr President , the die is cast .",– Herr Präsident ! Die Messe ist gesungen .,the die is cast .,die würfel sind gefallen .,"translate to german: – Mr President , the die is cast .",<pad> – Herr Präsident!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
507,In connection with this kind of work we have of course established a wide range of spare parts / equipment which we of course also sell to customers who wish to carry out the work themselves .,"In Verbindung mit solchen Arbeiten haben wir eine breite Auswahl von Ersatzteilen / Ausrüstung aufgebaut , die wir natürlich laufend an Kunden weiterverkaufen , die die Arbeit selbst unternehmen wollen .",to sell out,sich selbst untreu werden,translate to german: In connection with this kind of work we have of course established a wide range of spare parts / equipment which we of course also sell to customers who wish to carry out the work themselves .,<pad> Im Zusammenhang mit dieser Art von Arbeit haben wir natürlich ein breites Sortiment an Ersatzteilen
508,"The die is sometimes cast differently from how one plans , however .","Aber manchmal fallen die Würfel anders , als man es plant .",the die is cast .,die würfel sind gefallen .,"translate to german: The die is sometimes cast differently from how one plans , however .","<pad> Die Sterbe wird manchmal anders gedreht, als man es"
509,One of my best friends from childhood married a union organizer who found it so difficult to land a job in the US that he eventually moved his family to strike-happy Canada .,"Eine meiner besten Freundinnen aus der Kindheit hat einen Gewerkschaftsfunktionär geheiratet , für den es in den USA so schwierig war , eine Stelle zu finden , dass er mit seiner Familie am Ende in das streikfreundliche Kanada gezogen ist .",to land a job,( sich ) einen job an land ziehen,translate to german: One of my best friends from childhood married a union organizer who found it so difficult to land a job in the US that he eventually moved his family to strike-happy Canada .,<pad> Einer meiner besten Freunde aus der Kindheit verheiratete einen Gewerkschaft
510,When will we be able to hold a debate on this subject at the highest level ?,Wann wird darüber auf höchster Ebene diskutiert ?,to be on hold,auf eis liegen,translate to german: When will we be able to hold a debate on this subject at the highest level ?,<pad> Wann werden wir eine Debatte zu diesem Thema auf höchster Ebene führen können?</s> <pad>
511,We do not pass on your data to third parties .,Ihre Daten werden an Dritte nicht weitergegeben .,to pass on,das zeitliche segnen,translate to german: We do not pass on your data to third parties .,<pad> Wir geben Ihre Daten nicht an Dritte weiter.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
512,"I would like to know whether you consider that it would be a majority view in the Council , including the view of your own country - the Netherlands - that we should continue with a banana regime and continue to support the banana regime .","Ich würde gerne wissen , ob Sie glauben , daß die Mehrheit des Rates und auch die Mehrheit in Ihrem eigenen Land - den Niederlanden -die Meinung teilt , daß wir mit einer Bananenordnung weitermachen und diese weiter unterstützen sollten .",to be in the know,im bild / bilde sein,"translate to german: I would like to know whether you consider that it would be a majority view in the Council , including the view of your own country - the Netherlands - that we should continue with a banana regime and continue to support the banana regime .","<pad> Ich möchte wissen, ob Sie der Ansicht sind, dass es eine Mehrheits"
513,"Secondly , I am a little surprised to hear you addressing your requests to Mr González .",Zweitens ist der Vorsitz etwas überrascht über Ihre Fragen an Herrn González .,i hear you .,ich habe dich ( schon ) verstanden .,"translate to german: Secondly , I am a little surprised to hear you addressing your requests to Mr González .","<pad> Zweitens wundere ich mich, wenn ich höre, dass Sie"
514,"It is true that a small elite would continue to create , pass on or acquire new knowledge and ideas , but for the great majority , leaving school meant the end of formal education .","Sicher würde eine kleine Elite weiter neues Wissen und neue Kenntnisse schaffen , vermitteln oder erwerben . Für die große Mehrheit jedoch würde der Abschied von der Schule das Ende des formalen Lernens bedeuten .",to pass on,das zeitliche segnen,"translate to german: It is true that a small elite would continue to create , pass on or acquire new knowledge and ideas , but for the great majority , leaving school meant the end of formal education .","<pad> Es stimmt, dass eine kleine Elite weiterhin neue Kenntnisse und Ideen schaffen, weiter"
515,Both were head over heels in love and flew and chirped lovely around the world .,"Verliebt flogen und zwitscherten sie durch die Welt bis sich eines Tages herausstellte , dass der eine Vogel ein süßer Spatz war .",head over heels,hals über kopf,translate to german: Both were head over heels in love and flew and chirped lovely around the world .,<pad> Die beiden waren verliebt und flohen und chirrten auf der ganzen
516,"Discover our pages Discover Belgium , The Events in Belgium , Belgium in a nutshell !","Dann besuchen Sie folgende Websites : Belgien entdecken , Die Veranstaltungen in Belgien , Belgien , kurz und bündig !",in a nutshell,in knappen worten,"translate to german: Discover our pages Discover Belgium , The Events in Belgium , Belgium in a nutshell !","<pad> Entdecken Sie unsere Seiten Discover Belgium, The Events in Belgium, Belgium in a"
517,We will not pass on these informations to anyone .,Diese Daten werden vertraulich behandelt und nicht an dritte weitergegeben .,to pass on,das zeitliche segnen,translate to german: We will not pass on these informations to anyone .,<pad> Wir werden diese Informationen nicht an Dritte weitergeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
518,We offer day trips as well as multi night packages featuring Bird Route Sites and Sarapiqui birding Hotspots . Let us take care of the details while you focus on the birds !,"Hier ist nur eine kleine Auswahl der Vogelwelt und der Fauna , die Sie bei Ihrem Aufenthalt in der Selva Verde Lodge erwarten können .",take care !,machen sie es gut !,translate to german: We offer day trips as well as multi night packages featuring Bird Route Sites and Sarapiqui birding Hotspots . Let us take care of the details while you focus on the birds !,<pad> Wir bieten Tagesausflüge sowie Mehr-Nächte-Pakete mit Bird Route Site
519,"The EU needs the United States if things get out of hand , but the United States needs the EU to ensure that things do not get too out of hand .","Die EU ist auf die USA angewiesen , wenn die Dinge außer Kontrolle geraten , die Vereinigten Staaten benötigen aber die EU , damit sie sicherstellt , dass die Dinge nicht zu sehr aus dem Ruder laufen .",to get out of hand,außer kontrolle geraten,"translate to german: The EU needs the United States if things get out of hand , but the United States needs the EU to ensure that things do not get too out of hand .","<pad> Die EU braucht die Vereinigten Staaten, wenn die Dinge außer Kontrolle geraten"
520,I will pass this on to the House &apos;s services so that they can confirm your request and look into the matter .,"Ich werde es an die Dienste des Parlaments weiterleiten , damit sie Ihr Gesuch überprüfen und es in die Tat umsetzen .",to pass on,das zeitliche segnen,translate to german: I will pass this on to the House &apos;s services so that they can confirm your request and look into the matter .,"<pad> Ich werde dies an die Dienststellen dieses Hauses weiterleiten, damit sie Ihre"
521,"These typical features of resorts along the Spanish coast come in various guises , ranging from the cheap and cheerful to the expensive and luxurious .","Die hochwertigsten Schneidwaren und Messer werden in Albacete , Las Palmas auf Gran Canaria und Taramundi ( Asturien ) hergestellt .",cheap and cheerful,preiswert und gut,"translate to german: These typical features of resorts along the Spanish coast come in various guises , ranging from the cheap and cheerful to the expensive and luxurious .",<pad> Diese typischen Merkmale der Kurorte entlang der spanischen Küste sind in
522,"We are very pleased to be able to hold an exchange of views on this important issue here with Parliament , especially as there has been a whole string of positive developments since Sir Leon spoke about the matter in plenary in November last year .","Wir haben uns sehr darüber gefreut , daß wir bei dieser Gelegenheit zu einem Meinungsaustausch mit dem Parlament über diese wichtige Frage kommen können , zumal es eine ganze Reihe von positiven Entwicklungen gibt , seit Sir Leon im November letzten Jahres vor dem Plenum darüber gesprochen hat .",to be on hold,auf eis liegen,"translate to german: We are very pleased to be able to hold an exchange of views on this important issue here with Parliament , especially as there has been a whole string of positive developments since Sir Leon spoke about the matter in plenary in November last year .","<pad> Wir freuen uns sehr, hier mit dem Parlament einen Meinungsaustausch zu diesem wichtigen Thema"
523,"So today we want to go up to the high places , like our forefathers back in the ancient times .",Und heute moechten wir wie in alten Zeiten unsere Vaeter aufstehen !,to go places,es zu etwas bringen,"translate to german: So today we want to go up to the high places , like our forefathers back in the ancient times .","<pad> Deshalb wollen wir heute zu den hohen Plätzen aufsteigen, wie unsere Vorfahren in"
524,"In this day and age , with the arrival of harsh winter ahead and the epidemic of influenza A , it is time to arm themselves properly to face the risks of epidemics and avoid falling ill .","In der heutigen Zeit , mit der Ankunft der harten Winter voraus und diese Epidemie von Influenza A , ist es Zeit , sich korrekt zu arm , um die Risiken von Epidemien zu vermeiden Gesicht und krank .",in this day and age,in der heutigen zeit,"translate to german: In this day and age , with the arrival of harsh winter ahead and the epidemic of influenza A , it is time to arm themselves properly to face the risks of epidemics and avoid falling ill .","<pad> In diesem Zeitalter ist es an der Zeit, sich ordnungsgemäß zu"
525,So I wonder whether the time has not come to say &apos; enough &apos; !,"Ich frage mich , ob nicht der Augenblick gekommen ist , dem ganzen ein Ende zu setzen !",i say !,hören sie mal !,translate to german: So I wonder whether the time has not come to say &apos; enough &apos; !,"<pad> Deshalb frage ich mich, ob es nicht an der Zeit ist"
526,The only way out is to set clear priorities .,"Der einzige Ausweg besteht darin , klare Prioritäten zu setzen .",to clear the way,den weg frei machen,translate to german: The only way out is to set clear priorities .,<pad> Der einzige Ausweg ist die Festlegung klarer Prioritäten.</s> <pad> <pad> <pad>
527,"If you &apos;re ready to raise the bar , apply to First Solar today ! First Solar is a leader in the development and manufacturing of thin film solar modules .","Denn First Solar hat sich viel vorgenommen : Als einer der weltweit größten Hersteller von Solarmodulen wollen wir eine Welt schaffen , die mit sauberem und bezahlbarem Solarstrom versorgt wird .",to raise the bar,( sich ) hohe ziele setzen,"translate to german: If you &apos;re ready to raise the bar , apply to First Solar today ! First Solar is a leader in the development and manufacturing of thin film solar modules .",<pad> First Solar ist ein führender Hersteller von Dünnschicht-Solarmodulen
528,"Secondly , in its proposals , the Commission intends to place emphasis on funding instruments , that is , to pass from a culture based on grants to one more oriented towards lending to businesses .","Zweitens möchte die Kommission in ihren Vorschlägen den Schwerpunkt auf Finanzierungsinstrumente legen , d. h. auf einen Übergang von der Kultur der Zuschüsse hin zu einer Kultur , die mehr auf Kreditvergabe an Unternehmen ausgerichtet ist .",to pass on,das zeitliche segnen,"translate to german: Secondly , in its proposals , the Commission intends to place emphasis on funding instruments , that is , to pass from a culture based on grants to one more oriented towards lending to businesses .","<pad> Zweitens hat die Kommission in ihren Vorschlägen die Absicht,"
529,"Without any shadow of a doubt , this is a crisis of policies that have proved incapable of solving people ’ s actual problems , incapable of sustainably promoting economic growth and incapable of creating high-quality jobs .","Diese Krise ist ohne jeden Zweifel eine Krise der Politik , die sich als unfähig erwiesen hat , die konkreten Probleme der Menschen zu lösen , das Wirtschaftswachstum nachhaltig zu fördern und hochwertige Arbeitsplätze zu schaffen .",without a shadow of a doubt,vollkommen außer zweifel,"translate to german: Without any shadow of a doubt , this is a crisis of policies that have proved incapable of solving people ’ s actual problems , incapable of sustainably promoting economic growth and incapable of creating high-quality jobs .","<pad> Ohne Zweifel ist dies eine Krise der Politiken, die sich als unfähig"
530,We don ’ t pass on your personal data to third parties . If you use other services independently of an order ( e.g.,"Ihre personenbezogenen Daten werden an Dritte nur weitergegeben oder sonst übermittelt , wenn dies zum Zwecke der Vertragsabwicklung – insbesondere Weitergabe von Bestelldaten an Lieferanten – erforderlich ist , dies zu Abrechnungszwecken erforderlich ist oder Sie zuvor eingewilligt haben .",to pass on,das zeitliche segnen,translate to german: We don ’ t pass on your personal data to third parties . If you use other services independently of an order ( e.g.,<pad> Wir geben Ihre persönlichen Daten nicht an Dritte weiter.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
531,28 And it came to pass that Ammon and Lamoni proceeded on their journey towards the land of Middoni .,28 Und es begab sich : Ammon und Lamoni setzten ihre Reise in das Land Middoni fort .,to pass on,das zeitliche segnen,translate to german: 28 And it came to pass that Ammon and Lamoni proceeded on their journey towards the land of Middoni .,<pad> 28 Und es begab sich: Ammon und Lamoni fuhren auf ihre
532,We pay attention to Beat Wabel ´ s report to value it .,"Wir müssen erst abwarten , wie Beat Wabel entscheidet .",to beat it,die flatter machen,translate to german: We pay attention to Beat Wabel ´ s report to value it .,"<pad> Wir achten auf den Bericht von Beat Wabel, um ihn zu schätzen.</s> <pad>"
533,"y your things , don ’ t forget to have a thick jacket and long pants on hand for the pass .","Die Traeger wecken die Teilnehmer um 6.00 Uhr , damit diese ihre Sachen packen und fruehstuecken koennen . Der zweite Tag wird von vielen als der schwerste betrachtet , weil man 1.200 Meter zum hoechsten Pass der Route , dem Warmiwañusca Pass ( Pass der toten Frau ) auf 4.200 Meter Hoehe , aufsteigen muss .",to pass on,das zeitliche segnen,"translate to german: y your things , don ’ t forget to have a thick jacket and long pants on hand for the pass .",<pad> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
534,"In a nutshell , the development of some is the development of all .","Kurz gesagt , die Entwicklung einiger ist die Entwicklung aller .",in a nutshell,in knappen worten,"translate to german: In a nutshell , the development of some is the development of all .","<pad> Kurz gesagt, die Entwicklung einiger ist die Entwicklung aller.</s> <pad> <pad> <pad> <pad>"
535,"But that unfeeling organ is strong , made of stone rather than flesh , and its rhythms of endless war and competition continue to beat despite these tiny bursts of resistance that shake it momentarily .","Aber dieses gefühllose Organ ist stark , mehr aus Stein als aus Fleisch , und sein Rhythmus endlosen Kriegs und Wettbewerbs schlägt immer weiter , trotz dieser kleinen Einbrüche von Widerstand , die es kurzzeitig aus dem Tritt bringen .",to beat it,die flatter machen,"translate to german: But that unfeeling organ is strong , made of stone rather than flesh , and its rhythms of endless war and competition continue to beat despite these tiny bursts of resistance that shake it momentarily .","<pad> Aber dieses unerfreuliche Orgel ist stark, eher aus Stein"
536,"Like I always did , I will continue also in future to take care of my biking guests !","Sportlich sind wir beide , ich noch ein wenig mehr , und daher lag die MTB-Kompetenz von Anfang an bei mir ! Auf die Sportschiene hat mich mein Mann gebracht , und mittlerweile reicht die Palette vom Biken über Skitour bis Tauchen !",take care !,machen sie es gut !,"translate to german: Like I always did , I will continue also in future to take care of my biking guests !","<pad> Wie ich es immer getan habe, werde ich mich auch in Zukunft um"
537,"Mr Blokland , I had a quick look at the list you gave me and I thought it best to pass it on to the Chairman of the Committee on Petitions , who can give you a response .","Herr Blokland , ich habe einen Blick auf die Akte geworfen , die Sie mir ausgehändigt haben , und hielt es für angebracht , sie dem Vorsitzenden des Petitionsausschusses zu übergeben , damit Sie auf diesem Wege eine Antwort erhalten .",to pass on,das zeitliche segnen,"translate to german: Mr Blokland , I had a quick look at the list you gave me and I thought it best to pass it on to the Chairman of the Committee on Petitions , who can give you a response .","<pad> Herr Blokland, ich habe die Liste, die Sie mir gegeben haben,"
538,"Apart from that I do not see why I should have to insert my pass twice when entering the car park , once on top and once in the middle .","Außerdem sehe ich nicht ein , daß ich bei der Einfahrt in das Parkhaus zweimal meine Karte einstecken muß , einmal oben und einmal in der Mitte .",to pass on,das zeitliche segnen,"translate to german: Apart from that I do not see why I should have to insert my pass twice when entering the car park , once on top and once in the middle .","<pad> Darüber hinaus sehe ich nicht, warum ich meinen Fahrschein zweimal"
539,The political guidelines continue to move in directions that we know to be wrong .,"Die politischen Orientierungslinien bewegen sich weiter in eine Richtung , von der wir wissen , dass sie falsch ist .",to be in the know,im bild / bilde sein,translate to german: The political guidelines continue to move in directions that we know to be wrong .,"<pad> Die politischen Leitlinien bewegen sich nach wie vor in Richtungen, die wir"
540,Why should we in the West go to such lengths to address this issue when African governments appear so indifferent ?,"Warum sollten wir im Westen in dieser Angelegenheit große Anstrengungen unternehmen , wenn die afrikanischen Regierungen so uneinheitlich auftreten ?",to go west,das zeitliche segnen,translate to german: Why should we in the West go to such lengths to address this issue when African governments appear so indifferent ?,"<pad> Warum sollten wir im Westen so viel tun, um dieses Problem anzugehen, wenn"
541,If we have that confidence we can pass that message on to the public in Europe .,"Wenn wir uns dessen sicher sind , dann können wir auch die europäische Öffentlichkeit davon überzeugen .",to pass on,das zeitliche segnen,translate to german: If we have that confidence we can pass that message on to the public in Europe .,"<pad> Wenn wir dieses Vertrauen haben, können wir diese Botschaft an die <unk> ffentlichkeit in Europa weiter"
542,"To pass judgment on redistributive outcomes , we need to know about the circumstances that cause them .","Um ein Urteil über das Ergebnis der Umverteilung abgeben zu können , müssen wir die Umstände kennen , die dazu führen .",to pass on,das zeitliche segnen,"translate to german: To pass judgment on redistributive outcomes , we need to know about the circumstances that cause them .","<pad> Um ein Urteil über die redistributiven Ergebnisse zu fällen, müssen wir über"
543,"Where to go , places you should not miss , the best beaches , how to get to here and how to move , its famous sunset , everything about the best clubs and discos in the world , opening and closing parties , parties calendar , restaurants , shopping , gastronomy , culture , ....","Wohin zu gehen , Orte die Sie nicht vermissen sollen , die beste Stränden , wie Sie bis hier kommen können , die berühmte Abenddämmerung , alle über die besten clubs und discos der Welt , Eröffnung und Schliessung der Partys , Kalender der Partys , einkaufen , Restaurants , Gastronomie , Kultur , ...",to go places,es zu etwas bringen,"translate to german: Where to go , places you should not miss , the best beaches , how to get to here and how to move , its famous sunset , everything about the best clubs and discos in the world , opening and closing parties , parties calendar , restaurants , shopping , gastronomy , culture , ....","<pad> Wohin zu gehen, Orte, die man nicht verpassen sollte, die"
544,"I can only pass your words on to President Barroso , but I am sure that everybody is fully aware of this responsibility .","Ich kann Präsident Barroso Ihre Worte nur übermitteln , aber ich bin sicher , dass sich jeder dieser Verantwortung voll und ganz bewusst ist .",to pass on,das zeitliche segnen,"translate to german: I can only pass your words on to President Barroso , but I am sure that everybody is fully aware of this responsibility .","<pad> Ich kann Ihre Worte nur an Präsident Barroso weiterleiten, aber ich bin"
545,This newly structured website aims to pass on important information about administrative and political sectors as well as life in our town . Here you &apos;ll find an answer to many questions you may have about our town or be provided with the right contact details or someone who can help you further .,"Mit diesem Internetauftritt wollen wir Ihnen wichtige Informationen aus Verwaltung , Politik und Leben in unserer Stadt zukommen lassen .",to pass on,das zeitliche segnen,translate to german: This newly structured website aims to pass on important information about administrative and political sectors as well as life in our town . Here you &apos;ll find an answer to many questions you may have about our town or be provided with the right contact details or someone who can help you further .,"<pad> Diese neu strukturierte Website zielt darauf ab, wichtige Informationen über die administrativen und"
546,One problem in assessing the tiger-mothering approach is that we can ’ t separate its impact from that of the genes that the parents pass on to their children .,"Ein Problem bei der Bewertung des Tigermutteransatzes ist , dass wir seine Auswirkungen nicht von denen der Gene trennen können , die Eltern an ihre Kinder vererben .",to pass on,das zeitliche segnen,translate to german: One problem in assessing the tiger-mothering approach is that we can ’ t separate its impact from that of the genes that the parents pass on to their children .,"<pad> Ein Problem bei der Bewertung des Tiger-Muttering-Ansatzes ist,"
547,"Mint tea is available for about 6DH all over the town , or for free if you are invited in by any carpet salesman who will assure you you are entering &quot; just for a look . &quot; Some of the hotels have licensed bars , but it &apos;s hard to beat the terrace bar of the Taros ( 2 Rue de la Sqala ) for its view over the lively Place Moulay el Hassan and the harbour .","Es gibt Taxis , Pferdekutschen und Fahrräder zu mieten .",to beat it,die flatter machen,"translate to german: Mint tea is available for about 6DH all over the town , or for free if you are invited in by any carpet salesman who will assure you you are entering &quot; just for a look . &quot; Some of the hotels have licensed bars , but it &apos;s hard to beat the terrace bar of the Taros ( 2 Rue de la Sqala ) for its view over the lively Place Moulay el Hassan and the harbour .","<pad> Einige der Hotels haben lizenzierte Bars, aber es ist"
548,"As you know , I consider energy efficiency in the Union to be a priority area for Community energy policy .","Wie Ihnen bekannt ist , betrachte ich die Energieeffizienz in der Union als Prioritätsbereich der gemeinschaftlichen Energiepolitik .",to be in the know,im bild / bilde sein,"translate to german: As you know , I consider energy efficiency in the Union to be a priority area for Community energy policy .","<pad> Wie Sie wissen, halte ich die Energieeffizienz in der Union für einen"
549,"Most PowerPoint users know that a closed shape ( circle , square , triangle , etc . ) can be filled with an opaque color , a transparent color , a gradient of more than one color , and various textures and patterns .","Most PowerPoint users know that a closed shape ( circle , square , triangle , etc. ) can be filled with an opaque color , a transparent color , a gradient of more than one color , and various textures and patterns .",a square circle,ein rundes quadrat { n },"translate to german: Most PowerPoint users know that a closed shape ( circle , square , triangle , etc . ) can be filled with an opaque color , a transparent color , a gradient of more than one color , and various textures and patterns .","<pad> Die meisten PowerPoint-Benutzer wissen, dass eine geschlossene Form ( Kreis,"
550,"I will keep this House informed as to progress but I would like you , Madam President , to pass on our comments to the presidency .","Ich werde das Haus auf dem Laufenden halten , wenn es Fortschritte gibt , möchte aber Sie , Frau Präsidentin , bitten , unsere Bemerkungen an den Ratsvorsitz weiterzuleiten .",to pass on,das zeitliche segnen,"translate to german: I will keep this House informed as to progress but I would like you , Madam President , to pass on our comments to the presidency .","<pad> Ich werde dieses Haus über die Fortschritte auf dem Laufenden halten, aber ich"
551,"But if , God forbid , things get out of hand there again and large numbers of Kosovans come to the European Union , then we will find once again that nothing has been arranged at European level .","Falls die Angelegenheit dort erneut außer Kontrolle gerät und plötzlich viele Bewohner des Kosovo in die Europäische Union kommen , dann ist auf europäischer Ebene wieder nichts geregelt .",to get out of hand,außer kontrolle geraten,"translate to german: But if , God forbid , things get out of hand there again and large numbers of Kosovans come to the European Union , then we will find once again that nothing has been arranged at European level .","<pad> Aber wenn, Gott verbietet, die Dinge dort wieder aus der Hand kommen und eine"
552,I am sure Commissioner Kinnock will pass on the details of your speeches to me and I am grateful to him .,"Ich bin sicher , daß mein Kollege Kinnock mir Ihre Beiträge detailliert berichten wird , und ich danke ihm dafür .",to pass on,das zeitliche segnen,translate to german: I am sure Commissioner Kinnock will pass on the details of your speeches to me and I am grateful to him .,"<pad> Ich bin sicher, dass Kommissar Kinnock mir die Einzelheiten Ihrer Reden"
553,"Secondly , Morocco and other countries face real problems , given that they are themselves the targets of illegal migration from the south and often find themselves the route through which illegal migrants pass on the way to Europe .",Zweitens sind Marokko und andere Länder selbst das Ziel illegaler Einwanderer aus dem Süden bzw. sie fungieren häufig als Transitländer für illegale Einwanderer auf dem Weg nach Europa .,to pass on,das zeitliche segnen,"translate to german: Secondly , Morocco and other countries face real problems , given that they are themselves the targets of illegal migration from the south and often find themselves the route through which illegal migrants pass on the way to Europe .",<pad> Zweitens sind Marokko und andere Länder mit realen Problemen konfrontiert
554,Please pass this on to all concerned .,Bitte leiten Sie das an alle Betreffenden weiter .,to pass on,das zeitliche segnen,translate to german: Please pass this on to all concerned .,<pad> Bitte geben Sie dies an alle Beteiligten weiter.</s> <pad> <pad> <pad> <pad> <pad> <pad>
555,"In this day and age , we are using electricity and wireless technologies as never before , and the desire for electronic technologies is constantly increasing .","Wir nutzen Elektrizität und kabellose Technologien mehr als je zuvor und wir sehen in unserer Zivilation eine offensichtlich nicht zu stoppende Welle des Verlangens , elektronische Technologien zu nutzen .",in this day and age,in der heutigen zeit,"translate to german: In this day and age , we are using electricity and wireless technologies as never before , and the desire for electronic technologies is constantly increasing .",<pad> In diesem Zeitalter nutzen wir Elektrizitäts- und Funktechnologien wie
556,"That is , without doubt , too short , too sweet and too little .","Das ist mit Sicherheit zu kurz , zu knapp und zu wenig .",short and sweet,kurz und bündig,"translate to german: That is , without doubt , too short , too sweet and too little .","<pad> Das ist zweifellos zu kurz, zu süß und zu wenig.</s> <pad> <pad>"
557,"Where a delivery period of more than 4 months has been agreed on , Baumüller shall be entitled to correspondingly pass on to the Buyer any increase in costs that may have occurred ( materials , manufacture , assembly , personnel , shipment and the like ) .","Bei Vereinbarung einer Lieferfrist von mehr als 4 Monaten ist Baumüller berechtigt eingetretene Kostensteigerungen ( Material , Herstellung , Montage , Personal , Lieferung und ähnliches ) im entsprechenden Umfang an den Käufer weiterzugeben .",to pass on,das zeitliche segnen,"translate to german: Where a delivery period of more than 4 months has been agreed on , Baumüller shall be entitled to correspondingly pass on to the Buyer any increase in costs that may have occurred ( materials , manufacture , assembly , personnel , shipment and the like ) .","<pad> Wenn eine Lieferfrist von mehr als 4 Monaten vereinbart wurde, ist Baumüller berechtigt,"
558,World of Warcraft MMORPG players will find it easy to take up the World of Warcraft TCG since many of the names and terms used are the same as in the online game .,"Die Spieler des World of Warcraft MMORPGs werden den Einstieg in das World of Warcraft TCG sehr leicht finden , da viele Namen und Begriffe dieselben sind wie im Onlinespiel .",to take it easy,es ruhig angehen lassen,translate to german: World of Warcraft MMORPG players will find it easy to take up the World of Warcraft TCG since many of the names and terms used are the same as in the online game .,"<pad> World of Warcraft MMORPG Spieler finden es einfach, den World of War"
