,en,de,en_task,existing_task_with_suffix_translations
194,The operative view in central-banking circles has been that the so-called “ wealth effect ” – when asset appreciation spurs real economic activity – would square the circle for a lagging post-crisis recovery .,"Die operative Sicht in Zentralbankkreisen besagt , dass der sogenannte „ Vermögenseffekt “ – bei dem eine Vermögensaufwertung die Realwirtschaft beflügelt – in Bezug auf die lahmende Erholung seit der Krise eine Quadratur des Kreises herbeiführen würde .",translate English to German: The operative view in central-banking circles has been that the so-called “ wealth effect ” – when asset appreciation spurs real economic activity – would square the circle for a lagging post-crisis recovery .,"<pad> Die operative Ansicht in den Zentralbankkreisen war, dass der so genannte „ Reichtumeffekt “ – während die Vermögensaufwertung die reale Wirtschaftstätigkeit anheizt – den Kreis für eine nach der Krise rückläufige Erholung schließen würde.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
195,"In this process , the gas will travel through the pipes under natural pressure or a slight vacuum to be collected and used as an energy source , rather than simply escaping into the atmosphere .","In diesem Verfahren verläuft das Gas durch die Rohre unter der Wirkung seines natürlichen Drucks oder eines schwachen Vakuums , damit es eingesammelt und als Energierohstoff benutzt wird , anstatt einfach in die Atmosphäre freigelassen zu werden .","translate English to German: In this process , the gas will travel through the pipes under natural pressure or a slight vacuum to be collected and used as an energy source , rather than simply escaping into the atmosphere .","<pad> Das Gas wird in diesem Prozess unter natürlichem Druck oder einem leichten Vakuum durch die Rohre geleitet und als Energiequelle gesammelt und genutzt werden, anstatt einfach in die Atmosphäre zu fließen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
196,"By plane : you can easily fly to Budapest from all around the world and from there you can take a train , a minivan , rent a car or ask for us to pick you up at the airport .","Per Flugzeug : Der internationale Flughafen von Budapest ( Ungarn ) , wird weltweit angeflogen . Von dort können Sie mit dem Zug oder dem Bus nach Rumänien weiter reisen , oder ein Auto mieten .","translate English to German: By plane : you can easily fly to Budapest from all around the world and from there you can take a train , a minivan , rent a car or ask for us to pick you up at the airport .","<pad> Mit dem Flugzeug : Sie können bequem nach Budapest reisen, von dort aus nehmen, mit dem Zug, mit der Minivan, mit dem Auto mieten oder fragen, ob wir Sie am Flughafen abholen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
197,The answer from Commissioner Flynn is the clearest we have received so far and we will try to pass it on to those at home in Sweden who find themselves in this situation .,"Die Antwort von Kommissar Flynn ist allerdings die bisher eindeutigste , und wir werden versuchen , sie nach Schweden weiterzugeben , damit sie jene erreicht , die sich in dieser Situation befinden .",translate English to German: The answer from Commissioner Flynn is the clearest we have received so far and we will try to pass it on to those at home in Sweden who find themselves in this situation .,"<pad> Die Antwort von Kommissar Flynn ist die deutlichste, die wir bisher erhalten haben, und wir werden versuchen, sie an diejenigen in Schweden weiterzugeben, die sich in dieser Situation befinden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
201,"400 meters far from the hotel begins the Lido di Camaiore promenade , a nice window recently renewed , with a bicycle path , a landing stage opened in 2008 and many shops , bars , ice-cream parlours , pizzerias , restaurants and places where to spend your leisure time , go shopping , cycling , skating or just walking .","Nur 400 Meter vom Hotel Versilia weg , beginnt die Strandpromenade von Lido di Camaiore , die in den letzten Jahren komplett renoviert wurden ist . Außer dem Radweg hat es einen spektakulären Pier ( eröffnet im Jahr 2008 ) und eine reiche Auswahl an Geschäften , Bars , Pubs , Pizzerien und Restaurants .","translate English to German: 400 meters far from the hotel begins the Lido di Camaiore promenade , a nice window recently renewed , with a bicycle path , a landing stage opened in 2008 and many shops , bars , ice-cream parlours , pizzerias , restaurants and places where to spend your leisure time , go shopping , cycling , skating or just walking .","<pad> 400 Meter vom Hotel beginnt die Promenade Lido di Camaiore, ein schönes Fenster kürzlich erneuert, mit einem Fahrradweg, einer Landeschaltung im Jahre 2008 und vielen Geschäften, Bars, Eiscreme-Bars, Pizzerias, Restaurants und Orte, wo Sie Freizeit verbringen, einkaufen, Radfahren, Eislaufen, einfach nur zu Fuß gehen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
202,I would hope that what we have now agreed on gas will be revised slightly tomorrow and will move a bit closer to the compromise that has already been found in the Council .,"Ich würde mir wünschen , dass das , was wir beim Gas jetzt beschlossen haben , morgen noch ein Stück korrigiert wird , und zwar in Richtung auf den Kompromiss , der im Rat schon gefunden worden ist .",translate English to German: I would hope that what we have now agreed on gas will be revised slightly tomorrow and will move a bit closer to the compromise that has already been found in the Council .,"<pad> Ich wünschte mir, das, was wir jetzt über Gas vereinbart haben, wird morgen etwas überarbeitet und dem bereits im Rat gefundenen Kompromiss etwas näher kommen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
203,This official categorization in the U.S. helps to clear the way to new opportunities in positioning and product claims for food and beverage manufacturers .,Diese offizielle Klassifizierung ebnet Herstellern den Weg zu neuen Positionierungs- und Auslobungsmöglichkeiten .,translate English to German: This official categorization in the U.S. helps to clear the way to new opportunities in positioning and product claims for food and beverage manufacturers .,<pad> Diese offizielle Kategorisierung in den USA erleichtert den Weg zu neuen Möglichkeiten bei der Positionierung und den Produkterfordernissen für Lebensmittel- und Getränkehersteller.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
204,"Please rest assured , that we respect your privacy and will abolutely not pass on your email adress or use it in any other way than to send you infrequent updates as promised .","Seien Sie versichert , dass wir uns um die Sicherheit Ihrer Daten kümmern , Wir werden Ihre Email Adresse in keinem Fall weitergeben und sie ausschließlich für den seltenen Newsletter nutzen .","translate English to German: Please rest assured , that we respect your privacy and will abolutely not pass on your email adress or use it in any other way than to send you infrequent updates as promised .","<pad> Seien Sie sicher, dass wir Ihre Privatsphäre achten und Ihre Email-Adresse abolutely nicht weitergeben oder sie sonst nutzen als Ihnen unfrequente Updates, wie versprochen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
205,"I do not know what the Court of Auditors is referring to in this instance ; it may be to the work of the Council working party on nuclear energy issues , which , however , is not a Commission office .","Ich weiß nicht , worauf sich der Rechnungshof hier bezieht . Er mag sich auf die Arbeiten der Ratsarbeitsgruppe &quot; Atomfragen &quot; beziehen .","translate English to German: I do not know what the Court of Auditors is referring to in this instance ; it may be to the work of the Council working party on nuclear energy issues , which , however , is not a Commission office .","<pad> Ich weiß nicht, worauf der Rechnungshof in diesem Fall eingeht, sondern vielleicht die Arbeit der Arbeitsgruppe des Rates zu Kernenergiefragen, die jedoch kein Büro der Kommission ist.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
206,"He said that he had a bad heart , but the soldiers refused to allow him to pass the checkpoint , and they looked on as he died there of a heart attack .","Er erzählte , er sei herzkrank , aber die Soldaten erlaubten ihm nicht , den Checkpoint zu passieren , und sie sahen mit an , wie er dort an einem Herzanfall starb .","translate English to German: He said that he had a bad heart , but the soldiers refused to allow him to pass the checkpoint , and they looked on as he died there of a heart attack .","<pad> Er sagte, er hätte ein schlechtes Herz, aber die Soldaten weigerten ihm, den Checkpoint zu passieren, und sie sahen an, als er dort an einem Herzangriff starb.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
207,The provision of information should be improved to let citizens know in which cases they can petition the committee .,"Die Bereitstellung von Informationen sollte verbessert werden , damit die Bürger wissen , in welchen Fällen sie beim Petitionsausschuss eine Petition einreichen können .",translate English to German: The provision of information should be improved to let citizens know in which cases they can petition the committee .,"<pad> Die Bereitstellung von Informationen sollte verbessert werden, damit die Bürgerinnen und Bürger wissen können, in welchen Fällen sie einen Petitionsausschuss einreichen können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
208,"But global poverty , environmental catastrophe , proliferation , Afghanistan and the Middle East are not problems that can be put on hold while Europe talks to itself .","Doch sind die weltweite Armut , Umweltkatastrophen , die Verbreitung von Atomwaffen , Afghanistan und der Nahe Osten keine Probleme , die auf die lange Bank geschoben werden können , während Europa Selbstgespräche führt .","translate English to German: But global poverty , environmental catastrophe , proliferation , Afghanistan and the Middle East are not problems that can be put on hold while Europe talks to itself .","<pad> Doch weltweite Armut, Umweltkatastrophe, Verbreitung von Menschen in Afghanistan und dem Nahen Osten sind keine Probleme, die eingefroren werden können, wenn Europa an sich redet.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
209,"National strategies alone will not produce cutting-edge research ; we need a strategy for the continent , we need the whole of the Union to pull together .","Nationale Strategien allein werden keine Spitzenforschung hervorbringen . Wir brauchen eine Strategie für den gesamten Kontinent , eine Anstrengung ganz Europas .","translate English to German: National strategies alone will not produce cutting-edge research ; we need a strategy for the continent , we need the whole of the Union to pull together .","<pad> Nationale Strategien allein werden keine Spitzenforschung hervorbringen ; wir brauchen eine Strategie für den Kontinent, wir brauchen eine Zusammenführung der gesamten Union.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
210,"I hope that you , Mr President , will listen to me personally when I pass on to you the requests made by these peoples to the European Parliament .","Ich wünsche mir , Herr Präsident , dass Sie mir persönlich zuhören , wenn ich von den Forderungen berichte , die diese Völker an das Europäische Parlament richten .","translate English to German: I hope that you , Mr President , will listen to me personally when I pass on to you the requests made by these peoples to the European Parliament .","<pad> Ich hoffe, dass Sie, Herr Präsident, mich persönlich anhören werden, wenn ich Ihnen die Anträge dieser Völker an das Europäische Parlament weiterleiten werde.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
211,"Sook seems to be head over heels in love with her , but even though the two have some dates , Ha-kyeong rejects her new boyfriend , eventually , because the scars of her prior relationship are still too deep for her to start a new one .","Sook scheint sofort über beide Ohren verliebt , aber obwohl die beiden ein paar Dates miteinander haben , weist Ha-kyeong ihren neuen Freund schließlich zurück , da eine vorangegangen Beziehung ihr noch zu viele Schmerzen bereitet .","translate English to German: Sook seems to be head over heels in love with her , but even though the two have some dates , Ha-kyeong rejects her new boyfriend , eventually , because the scars of her prior relationship are still too deep for her to start a new one .","<pad> Sook scheint Kopf über Kopf in ihrer Liebe zu sein, aber selbst wenn die beiden einige Termine haben, lehnt Ha-kyeong ihren neuen Freund ab, schließlich, weil die Narben ihrer vorherigen Beziehungen noch zu tief sind, um sie zu starten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
212,"How is it possible , in this day and age , that we should be discussing whether the United Nations resolution is applied by the European Union , by NATO or by the international coalition , when we are talking about the same resources coming from the same taxpayers ; about the same ships and their use in the same theatre of operations ?","Wie ist es heute noch möglich , dass wir darüber diskutieren , ob die UN-Resolution von der Europäischen Union , von der NATO oder von der internationalen Koalition angewendet wird , wenn wir über dieselben Mittel sprechen , die von denselben Steuerzahlern kommen ; wenn wir über dieselben Schiffe und ihre Verwendung im selben Einsatzgebiet sprechen ?","translate English to German: How is it possible , in this day and age , that we should be discussing whether the United Nations resolution is applied by the European Union , by NATO or by the international coalition , when we are talking about the same resources coming from the same taxpayers ; about the same ships and their use in the same theatre of operations ?","<pad> Wie kann man heutzutage darüber diskutieren, ob die Resolution der Vereinten Nationen von der Europäischen Union, der NATO oder der internationalen Koalition angewendet wird, wenn man von den gleichen Mitteln spricht, die von denselben Steuerzahlern kommen, von denselben Schiffen und ihrem Einsatz in einem Operationslager?</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
213,I believe that we will never know the answer to that question because the negotiations are likely not to be concluded in that way .,"Ich denke , wir werden die Antwort nie erfahren , denn diese Verhandlungen werden so wahrscheinlich nicht abgeschlossen werden .",translate English to German: I believe that we will never know the answer to that question because the negotiations are likely not to be concluded in that way .,"<pad> Ich glaube, die Antwort auf diese Frage werden wir nie wissen, weil die Verhandlungen wahrscheinlich nicht so abgeschlossen werden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
215,"Now that Iraq no longer has Saddam Hussein as a dictator and is hopefully on the way to more democratic structures , we must send a clear message to Syria and Iran . The message is this : if you want to conduct relations with the European Union , you must say &apos; yes &apos; to the Roadmap and participate in the process as well .","Nachdem der Irak nicht mehr Saddam Hussein als Diktator hat und hoffentlich auf dem Weg zu demokratischeren Strukturen ist , müssen wir Syrien und dem Iran sagen : Wenn ihr Beziehungen zur Europäischen Union haben wollt , dann müsst ihr ebenfalls Ja sagen zur road map , dann müsst ihr an diesem Prozess mitwirken .","translate English to German: Now that Iraq no longer has Saddam Hussein as a dictator and is hopefully on the way to more democratic structures , we must send a clear message to Syria and Iran . The message is this : if you want to conduct relations with the European Union , you must say &apos; yes &apos; to the Roadmap and participate in the process as well .","<pad> Nun, da der Irak Saddam Hussein nicht mehr als Diktator hat und hoffentlich auf dem Weg zu demokratischeren Strukturen ist, müssen wir Syrien und dem Iran eine klare Botschaft übermitteln : Wenn Sie die Beziehungen zur Europäischen Union führen wollen, dann müssen wir der Roadmap zustimmen und auch an diesem Prozess teilhaben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
217,"I do not know if it will be necessary for us to reconsider the issue in 2003 , but to say now that in no event are we going to do anything in 2003 does not seem correct to us .","Ich weiß nicht , ob es erforderlich sein wird , dass wir 2003 das Thema wieder aufgreifen , aber zum jetzigen Zeitpunkt zu sagen , dass wir 2003 etwas auf keinen Fall tun werden , halten wir für nicht korrekt .","translate English to German: I do not know if it will be necessary for us to reconsider the issue in 2003 , but to say now that in no event are we going to do anything in 2003 does not seem correct to us .","<pad> Ich weiß nicht, ob wir das Thema 2003 überdenken müssen, aber zu sagen, daß wir 2003 überhaupt nichts tun werden, halte es für nicht richtig.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
