,en,trans,de,en_idiom,Wrong
133,"In this day and age , when there is so much EU regulation concerning the governance of financial investments , this is simply an intolerable and unacceptable situation ."," In today's world, when there is so much EU regulation for the supervision of financial investments, such a situation is simply intolerable and unacceptable.","In der heutigen Zeit , in der es für die Aufsicht über Finanzinvestitionen so viele EU-Vorschriften gibt , ist eine solche Situation einfach unerträglich und nicht hinnehmbar .",in this day and age,
134,Find wheelchair accessible places to go to and valuable hints &amp; tips !, Wheelchair-accessible businesses as well as excursion destinations and helpful tips for barrier-free holidays!,Rollstuhlgerechte Betriebe sowie Ausflugsziele und hilfreiche Tipps für den barrierefreien Urlaub !,to go places,
135,"We shall pass them on to the Bureau , as I suggested ."," As I suggested , we will forward them to the Parliament Bureau .","Wir werden sie , wie ich vorgeschlagen habe , an das Parlamentspräsidium weiterleiten .",to pass on,
136,To close the door in their faces is not right ., Slamming the door in your face is not right.,"Ihnen die Tür vor der Nase zuzuschlagen , ist nicht richtig .",to close the door,
137,"Responsibility for this must be borne by all the Member States that have to date refused to pass on these competences to the co-legislator , Parliament , in the form of codecision in the legislative sphere .","All member states are responsible for this, as they have so far refused to pass on these competences in the form of co-decision in the legislative area to the European Parliament as co-legislator.","Zu verantworten haben dies alle Mitgliedstaaten , die sich bisher geweigert haben , diese Kompetenzen in Form der Mitentscheidung im Gesetzgebungsbereich an das Europäische Parlament als Mitgesetzgeber weiterzugeben .",to pass on,
138,"I agree with you , but I should have liked to hear your reaction ."," While I agree with you on this , I wanted to hear your point of view .","Zwar bin ich mit Ihnen darin einig , doch wollte ich Ihren Standpunkt dazu hören .",i hear you .,
139,"Though the Bistro Steinhalle can be reached by wheelchair , access to it is by a rough gravel path from the gateway to the right of the main entrance ."," The Bistro Steinhalle can be reached by wheelchair, but access is via a rough gravel path from the gate to the right of the main entrance.","Das Bistro Steinhalle ist mit dem Rollstuhl zwar erreichbar , der Zugang führt jedoch vom Tor rechts vom Haupteingang über einen groben Kiesweg .",to rough it,
140,"On the one hand , it allows huge numbers of migrants to pass through it and , on the other , a stream of political refugees from Turkey itself or from other countries but who are open to prosecution in Turkey , such as Iraqi Kurds who might be prosecuted for their activities in Turkey , is turning up in Greece ."," On the one hand there are large flows of illegal immigrants through Turkey, on the other hand Greece receives a number of political refugees who come from Turkey itself or from another country, but who find themselves persecuted in Turkey, such as Kurds from Iraq who have fled because of their political activities in Turkey can be followed.","Einerseits gibt es große Ströme illegaler Einwanderer durch die Türkei , andererseits erreichen Griechenland eine Reihe politischer Flüchtlinge , die aus der Türkei selbst oder einem anderen Land kommen , sich aber in der Türkei Verfolgungen ausgesetzt sehen , wie zum Beispiel Kurden aus dem Irak , die wegen ihrer politischen Aktivitäten in der Türkei verfolgt werden können .",to pass on,
141,"This is Wales in a nutshell , an impressive feat considering Gower &apos;s tiny size .",Gower is a popular holiday destination as well as a preferred place of residence for pensioners and the wealthy. The 100 km ² large peninsula is famous for its magnificent coastline .,"Gower ist ein beliebtes Urlaubsziel , sowie bevorzugter Wohnort von Rentnern und wohlhabenden Personen . Die über 100 km ² große Halbinsel ist berühmt für ihre großartige Küstenlinie .",in a nutshell,x
142,"Neck and shoulders are covered by a thick mane . The backside of the front legs is well feathered , the hind legs have ample feathering from croup to hocks ."," The black , brown , gray or orange color patches must be distributed over the whole body .","Die schwarzen , braunen , grauen oder orangen Farbflecken müssen über den ganzen Körper verteilt sein .",to have legs,x
143,"What we do know is that it is particularly in the retail markets that much more remains to be done , while the question has been repeatedly raised as to whether the financial services industry might not be entitled to a break from regulation after making such efforts ."," What is certain is that there is still considerable progress to be made, especially in the area of the markets. On the other hand , the question has been raised on various occasions as to whether the financial services industry is entitled to a regulatory break after the efforts it has made .","Fest steht , dass vor allem im Bereich der -Märkte noch erhebliche Fortschritte zu leisten sind . Andererseits wird verschiedentlich gefragt , ob der Finanzdienstleistungsindustrie nach den geleisteten Anstrengungen nicht eine Regelungspause zustehe .",to be in the know,
144,"If you put it like that , the decision we have to take is a very easy one !"," Faced with this alternative, the decision we have to make is very easy!","Vor dieser Alternative fällt die Entscheidung sehr leicht , die wir zu treffen haben !",to take it easy,
145,"Secondly , I realise that the best way for you to know what is going on in these negotiations would be to read the draft negotiating text ."," Secondly , I realize that the best way for you to know what is going on in these negotiations is to read the draft negotiating text .","Zweitens ist mir klar , dass Sie am ehesten wüssten , was in diesen Verhandlungen vor sich geht , wenn Sie den Entwurf des Verhandlungstextes lesen würden .",to be in the know,
146,"Mr President , I would just like to ask whether we will still be having a debate on gas today or whether it has been deleted from the agenda .", Mister President ! I just want to ask if we are still going to have a debate on gas today or if the subject has been taken off the agenda .,"Herr Präsident ! Ich möchte nur fragen , ob wir heute noch eine Aussprache über Gas führen werden oder ob das Thema von der Tagesordnung gestrichen worden ist .",to be a gas,
147,Sweet live in a band i have to say !,"Irrespective of that, we started playing and tried to deliver a freak show like the parallel show. I'd say success... There wasn't that much going on in front of the stage, but those who were sexy enough did their best.","Ungeachtet dessen haben wir dann mal angefangen zu spielen und versucht auch ne Freakshow wie die Parallelshow abzuliefern . Erfolg würde ich sagen … Zwar war nicht so viel los vor der Bühne , aber diejenigen , die sexy genug waren haben ihr bestes gegeben .",i say !,x
148,"39 And it came to pass when they heard him , no man laid hands on him ; for a fear came on all them that heard him ; for he b walked with God .","39 And it came to pass that when they heard him, no one laid hands on him; for fear came upon all who heard him ; for he walked with God .","39 Und es begab sich : Als sie ihn hörten , legte niemand Hand an ihn ; denn Furcht überkam alle , die ihn hörten ; denn er wandelte mit Gott .",to pass on,
149,"In this day and age , the age of public awareness , with a lot of accessible information , we have yet to formulate wordings , unambiguous of course , that are acceptable to society , so that when people buy one product or another , they can obtain appropriate information and can understand what the product &apos;s ingredients are ."," In today's time of public awareness with a large amount of accessible information, we are still looking for formulations, unambiguous of course, that are acceptable to society, so that people can get the necessary information when buying any product and understand what additives it contains product contains .","In der heutigen Zeit des öffentlichen Bewusstseins mit einer großen Anzahl zugänglicher Informationen , suchen wir immer noch nach Formulierungen , unzweideutigen natürlich , die für die Gesellschaft akzeptabel sind , damit Menschen beim Kauf eines jeden Produktes die erforderlichen Informationen erhalten können und verstehen können , welche Zusatzstoffe das Produkt enthält .",in this day and age,
150,ur company can go back to 40 years of experience in the area of projecting and distributing freezing equipment . In those days freezers were imported and installed from the U.S.A.,Our company can now look back on more than 40 years of experience in the field of project planning and the sale of freezer systems.,nser Unternehmen kann mittlerweile auf eine über 40-jährige Erfahrung im Bereich der Projektierung und dem Vertrieb von Frosteranlagen zurückblicken .,those were the days .,
151,"Overall its a decent hotel though , nice and quiet , good location , close to the train stops with a taxi rank literally outside the main door .",There are five computers available to guests in the lobby. Towels were large and relatively thick.,There are five computers available to guests in the lobby . Towels were large and relatively thick .,to close the door,x
152,"Thank you very much , and please pass on my regards to your mother ."," Thank you , and please give my regards to your mother .","Vielen Dank , und grüßen Sie bitte Ihre Mutter von mir .",to pass on,
153,It is important for us to preserve and pass on to future generations the unity which we have succeeded through sustained effort in achieving over the decades ., It is extremely important that we preserve the unity that we have achieved through continued effort over these decades and pass it on to generations to come.,"Es ist außerordentlich wichtig , dass wir die Einheit bewahren , die wir durch fortwährende Anstrengungen über diese Jahrzehnte hinweg erreicht haben , und sie an die kommenden Generationen weitergeben .",to pass on,
154,"As we also know , the background to these attacks was said to be an increase in Iraqi anti-aircraft fire aimed at the British and American war planes patrolling what are known as the no-fly zones in northern and southern Iraq ."," As we further know, these attacks were justified by increased Iraqi anti-aircraft fire against British and American warplanes protecting the so-called no-fly zone in northern and southern Iraq.","Wie wir weiterhin wissen , wurden diese Angriffe mit verstärktem irakischem Flakfeuer gegen britische und amerikanische Kampfflugzeuge , die die so genannte Flugverbotszone im Norden und Süden des Irak schützen , begründet .",to be in the know,
155,"For this reason , every time your application sends a request to MapServer , it needs to pass context information ( what layers are on , where you are on the map , application mode , etc . ) in hidden form variables or URL variables ."," For this reason, every time your application sends a request to MapServer, it needs to pass context information (what layers are on, where you are on the map, application mode, etc.) in hidden form variables or URL variables.","For this reason , every time your application sends a request to MapServer , it needs to pass context information ( what layers are on , where you are on the map , application mode , etc. ) in hidden form variables or URL variables .",to pass on,
156,"As we know , a new General Assembly is going to be meet concerning these issues in the year 2000 .","As we know , a new General Assembly will deal with these problems in 2000 .","Wie wir wissen , wird sich im Jahr 2000 eine neue Generalversammlung mit diesen Problemen befassen .",to be in the know,
157,"I would ask the President to pass on our support to Prime Minister Siniora in response to this brutal terrorist attack and our unquestionable and irrevocable commitment to the cause of a sovereign , democratic , stable , viable and peaceful Lebanon ."," would like to ask the President to convey to Prime Minister Siniora our solidarity in the face of this atrocious terrorist attack and our full and irrevocable commitment to the cause of a sovereign , democratic , stable , viable and peaceful Lebanon .","Ich möchte den Herrn Präsidenten bitten , Herrn Premierminister Siniora unsere Solidarität angesichts dieses grausamen Terroranschlags zu übermitteln sowie unser uneingeschränktes und unwiderrufliches Bekenntnis zu der Sache eines souveränen , demokratischen , stabilen , lebensfähigen und friedlichen Libanon .",to pass on,
158,"Consequently , the Union for a Europe of Nations Group wanted the House to be able to hold an urgent debate on the situation in Algeria ."," Therefore , the UEN Group would have liked this House to deal with the situation in Algeria as a matter of urgency .","Daher hätte sich die UEN ­ Fraktion gewünscht , dass sich dieses Haus in aller Dringlichkeit mit der Lage in Algerien befasst .",to be on hold,
159,It would be appreciated therefore if you could pass on our thanks to all concerned ., Please count on us for the next edition of the tournament in May .,Bitte rechne mit uns für die nächste Ausgabe des Turniers im Mai .,to pass on,
160,"This does not of course make this any less of a disaster , but I still think that it could be of interest to you , my friends in the European Parliament , to know that the tunnel is not financed by EU funds ."," Of course, that doesn't make the disaster any less bad, but I still think that it might be of interest to you, dear colleagues in the European Parliament, if you know that the tunnel was not financed with EU funds.","Das macht natürlich die Katastrophe nicht weniger schlimm , aber ich finde trotzdem , daß es für Sie , liebe Kollegen im Europäischen Parlament , von Interesse sein könnte , wenn Sie wissen , daß der Tunnel also nicht mit EU-Mitteln finanziert worden ist .",to be in the know,
161,The risk is — it so happens that at the same time as we are relaunching the implementation of the Lisbon strategy we are also discussing the reform of the Stability and Growth Pact — that we have a reform that will not promote convergence between the Eurozone states and will pass greater economic and financial risk on to the Member States .,"Since it turned out that we are discussing the reform of the Stability and Growth Pact at the same time as the new attempt to implement the Lisbon strategy, there is a risk that this reform will not promote convergence between the states of the euro zone and will lead to greater economic and financial risk for Member States .","Da es sich so ergeben hat , dass wir zeitgleich mit dem neuen Anlauf zur Umsetzung der Lissabon-Strategie die Reform des Stabilitäts- und Wachstumspaktes diskutieren , besteht die Gefahr , dass diese Reform die Konvergenz zwischen den Staaten der Eurozone nicht fördert und ein größeres wirtschaftliches und finanzielles Risiko für die Mitgliedstaaten darstellt .",to pass on,
162,We strongly believe that a majority of MEPs indeed has made it too easy for Mr Barroso to take the criticism seriously ., We believe that a majority of MEPs have made it too easy for Mr Barroso not to take this criticism seriously .,"Wir sind der Auffassung , dass es Herrn Barroso von einer Mehrheit der Mitglieder des Europäischen Parlaments zu leicht gemacht worden ist , diese Kritik nicht ernst zu nehmen .",to take it easy,
163,"I would ask all Member States to approve every asylum application individually , to pass it on to the appropriate competent central authority and to ensure that that authority processes it ."," I call on the Member States to admit each application for asylum individually , to forward it to the relevant central authority and to ensure that it is processed there .","Ich fordere die Mitgliedstaaten auf , jeden Antrag auf Asyl individuell zuzulassen , ihn an die jeweilige zuständige Zentralbehörde weiterzuleiten und dort seine Bearbeitung sicherzustellen .",to pass on,
164,The European Union &apos;s motto clearly sums up the message that we have a duty to pass on to the Chinese authorities through this resolution : united in diversity ., The European Union 's motto clearly sums up the message we are committed to sending to the Chinese government with this resolution : united in diversity .,"Der Leitspruch der Europäischen Union fasst die Botschaft klar zusammen , die wir verpflichtet sind , mit dieser Entschließung an die chinesischen Regierung übermitteln : in Vielfalt geeint .",to pass on,
165,On fisheries - whether that can be part of it or not - I hear very clearly what you say .,As for fisheries -- whether that is part of it or not -- I hear very clearly what you are saying .,"Was die Fischerei angeht - ob diese nun ein Teil dessen ist oder nicht - höre ich sehr deutlich , was Sie sagen .",i hear you .,
166,I think we should make it clear that the Eastern Partnership is not a way to keep EU membership from the countries in the East but it is a way for them to build more of the European Union inside their countries .," I think we should make it clear that the Eastern Partnership is not a measure to keep countries away from EU membership, but rather a way of building the European Union more in their own countries.","Ich finde , dass wir klarstellen sollten , dass die Östliche Partnerschaft keine Maßnahme ist , um die Länder von der EU-Mitgliedschaft fern zu halten , sondern dass sie eine Möglichkeit bietet , die Europäische Union verstärkt in ihren Ländern selbst aufzubauen .",to clear the way,
167,To have you as a happy customer and pass on a good word for us is our goal !, Click on student testimonials to learn more or contact us.,"Klicken Sie auf Berichte von Kursteilnehmern , um mehr zu erfahren oder nehmen Sie mit uns Kontakt auf .",to pass on,x
168,"Whichever tool we choose , Mr Barroso , I expect to hear one sentence from you ."," Whichever instrument we choose , Mr Barroso , I expect one sentence from you .","Welches Instrument wir auch immer wählen werden , Herr Barroso , ich erwarte von Ihnen einen Satz .",i hear you .,
169,Nor is it sufficient to beat the drum for causes such as a better balance between family and working life ., It is also not enough to aim for a better work-life balance.,"Auch reicht es nicht aus , sich etwa bessere Vereinbarkeit von Familie und Beruf an die Fahne zu heften .",to beat it,
170,"Suddenly the rivalries between the various European nations dissolve and their common interests come to the fore , not only within Europe , but also between Europeans and the United States - a bad time for Euro-sceptics !"," Suddenly the contrasts between the rival European nations become blurred and the similarities emerge - within Europe, but also between Europeans and Americans: bad times for euro skeptics!","Plötzlich verschwimmen die Gegensätze zwischen den rivalisierenden europäischen Nationen , und hervor treten die Gemeinsamkeiten - innerhalb Europas , aber auch zwischen Europäern und US-Amerikanern : schlechte Zeiten für Euro-Skeptiker !",to come to the fore,
171,I think we all feel a reserved satisfaction ; we all see the continuing shortcomings in Afghanistan and we all know what has to be done over coming years .," think we are all relatively content , seeing the weaknesses in Afghanistan and knowing what needs to be done in the next few years .","Ich glaube , dass wir alle relativ zufrieden sind , wobei wir die Schwachpunkte in Afghanistan sehen , und wir wissen , was in den nächsten Jahren noch alles zu tun ist .",to be in the know,
172,This is why the company offers an efficient proofreading service for businesses wanting to go the extra mile and improve their professional business image ., That is why Oracle Translation Services provides you with an efficient proofreading service so that you can offer a business image as accurate as possible.,"Deswegen stellt Oracle Translation Services Ihnen einen effizienten Korrekturlesendienst zur Verfügung , damit Sie ein Geschäftsimage so präzis wie möglich bieten können .",to go the extra mile,
173,"Therefore , I ask you , Mrs Malmström , to pass on to Commissioner Potočnik our clear demand that progress be made in the area of gold production on the part of the Commission , the European legislator ."," I would therefore ask you , Mrs Malmström , to pass on to Commissioner Potočnik our unequivocal request that the Commission , the European legislator , also make progress in the area of gold mining .","Deshalb bitte ich Sie , Frau Malmström , unsere eindeutige Aufforderung , dass im Bereich der Goldförderung unbedingt Fortschritte auch auf Kommissionsseite , auf Seiten des europäischen Gesetzgebers , zu erzielen sind , an Kommissar Potočnik weiterzuleiten .",to pass on,
174,I hope that the Irish presidency will incorporate in its proposals all the elements we know to be indispensable in order to face future commitments ., I would like the Irish Presidency to include in its proposals all the elements that we know are essential to deal with the challenges ahead .,"Ich möchte , daß die irische Präsidentschaft in ihre Vorschläge alle Elemente aufnimmt , von denen wir wissen , daß sie zur Bewältigung der zukünftigen Aufgaben unerläßlich sind .",to be in the know,
175,We also agreed that it would be best to hold this discussion in parallel with discussions on France and Germany and the excessive deficit procedure applied to them .,We also agreed that this discussion was best conducted at the same time as the discussions on France and Germany and their excessive deficit procedure.,"Ferner waren wir uns einig darin , dass diese Diskussion am besten gleichzeitig mit den Diskussionen zu Frankreich und Deutschland und dem gegen sie eingeleiteten Verfahren für übermäßige Defizite geführt werden sollte .",to be on hold,
176,All I can say about that is that it is an embarrassment !, All I can say is that it's embarrassing!,"Dazu kann ich nur sagen , das ist peinlich !",i say !,
177,"I shall , of course , pass on your comments to my friend , Mr Tajani , so that he can ensure that this evaluation continues at grass-roots level and in the light of all the observations that have been made and , in particular , Mr President , of the pertinent remarks made this evening by the different MEPs who have spoken ."," I will forward your comments to my friend, Mr Tajani, so that he can ensure that this policy review can continue to be conducted on the basis and in the light of all the feedback that has been given - and particularly, Mr President, taking into account the one here today relevant contributions made by the various MEPs .","Ich werde Ihre Bemerkungen an meinen Freund , Herrn Tajani , weiterleiten , damit er dafür sorgen kann , dass diese Maßnahmenüberprüfung weiterhin an der Basis und unter dem Blickwinkel all der gemachten Rückmeldungen durchgeführt werden kann - und ganz besonders , Herr Präsident , unter Berücksichtigung der heute hier von den verschiedenen MdEP vorgebrachten sachdienlichen Beiträge .",to pass on,
178,Allow me to pass on some information about Bolivia : alternative crops in the Chaparé region in Bolivia are being financed by the European Union ., And the example of Bolivia allows me to tell you that alternative cultivation in the Chaparé region of Bolivia is funded by the European Union .,"Und das Beispiel Bolivien ermöglicht mir , Ihnen mitzuteilen , daß der alternative Anbau in der Region Chaparé in Bolivien von der Europäischen Union finanziert wird .",to pass on,
179,I will pass on your remarks to the President ., I will pass your suggestion on to the President .,Ich werde Ihre Anregung an den Präsidenten weitergeben .,to pass on,
180,I think the House will know that I have tried to be pretty brief in my remarks so as not to take up too much debating time .,"As you know , I always try to keep my speech as brief as possible so as not to take up too much of the time allotted for the debate .","Sie wissen , dass ich mich immer bemühe , meine Ausführungen so kurz wie möglich zu halten , um nicht zu viel von der Zeit in Anspruch zu nehmen , die für die Aussprache vorgesehen ist .",to be in the know,
181,"Therefore please fill in the contact e-mail completely with all necessary details , so that we will be able to pass on your informations easily to the responsible wholesaler ."," Therefore, please fill out the contact e-mail completely so that it is easier for us to pass it on to the responsible advertising material dealer.","Bitte füllen Sie daher die Kontakt e-mail komplett aus , damit die Weitergabe an den zuständigen Werbemittelhändler für uns erleichtert wird .",to pass on,
182,"Commissioner , I am delighted to hear you are going to do that ."," I am pleased to hear that you are doing so , Commissioner .","Es freut mich zu hören , dass Sie dies tun , Herr Kommissar .",i hear you .,
183,"“ I am compelled to interpret , not record the world around me . ” His pictures document how carefree people were in those days and demonstrate the sheer boundless freedom that photographers had – a freedom that has been curbed by the ever-increasing voyeurism of the media ."," ""I have to interpret, I can't just grasp the world as it is. His pictures are a testament to the carefree nature of the time and the almost limitless freedom of photographers – a freedom that was severely restricted by the increasing voyeurism of the media.","„ Ich muss interpretieren , kann die Welt nicht einfach nur erfassen , so wie sie ist . “ Seine Bilder sind ein Beleg für die damalige Unbekümmertheit und schier grenzenlose Freiheit der Fotografen – eine Freiheit , die durch den zunehmenden Voyeurismus der Medien stark eingeschränkt wurde .",those were the days .,
184,"Mr President , my colleagues have already made many of the points that I wanted to raise in an extremely clear and precise way , and so I will not repeat them ."," Mr President , my fellow Members have already set out clearly and precisely many of the points on which I also wished to speak , so that I can concur with them .","Herr Präsident , meine Kolleginnen und Kollegen haben bereits viele der Punkte , zu denen auch ich mich äußern wollte , klar und präzise dargelegt , so dass ich mich ihnen anschließen kann .",to clear the way,
185,It was just a question of time that Marchisio Engineering the famous maker of customizeable cassettes would come up with something for Campagnolo &apos;s 11 speed gruppos .,"It was only a matter of time before Marchisio Engineering, known for individually configurable cassettes, would offer a solution for Campagnolo's new 11-speed groupsets.","Es war nur eine Frage der Zeit , dass Marchisio Engineering , bekannt für individuell konfigurierbare Kassetten , eine Lösung für die neuen 11fach Gruppen von Campagnolo anbieten würde .",something &apos;s up .,
186,"Last weekend , a large demonstration in Hong Kong illustrated the genuine concerns that Article 23 laws could undermine existing human rights and civil and religious liberties .","A large demonstration in Hong Kong last weekend shows genuine concern that Article 23 legislation could erode existing human rights , civil and religious liberties .","Eine große Demonstration am letzten Wochenende in Hongkong zeugt von der echten Besorgnis , Gesetze nach Artikel 23 könnten die geltenden Menschenrechte sowie bürgerlichen und religiösen Freiheiten aushöhlen .",the genuine article,
187,"Irrespective of whether the goal is to build up , preserve or pass on assets , LGT can provide an integrated range of investment products as well as banking and advisory services ."," Whether the aim is to build up, maintain or pass on assets: an integrated range of investment products as well as banking and advisory services is available for asset development.","Ob Aufbau , Erhalt oder Weitergabe von Vermögenswerten das Ziel ist : Für die Vermögensentwicklung steht ein integriertes Angebot an Anlageprodukten sowie Bank- und Beratungsleistungen bereit .",to pass on,
188,"Our another responsibility is to raise the bar on our QUALITY approved by Turkish Standards Institution via our employees and service mentality , “ Continuous improvement ” .", It is also one of our responsibilities together with our employees and our service understanding with the logic of “continuous improvement” to always increase our QUALITY confirmed by the Turkish Standard Institute.,Einer unserer Verantwortungen ist es auch zusammen mit unseren Mitarbeitern und unserem Diestleistungsverstaendnis mit der Logik der “ kontinuierlichen Verbesserung ” unsere durch die Türkische Standardinstitut bestaetigtte QUALITAET immer zu erhöhen .,to raise the bar,
189,"NI-DAQmx makes it fast and easy to configure your board and take advantage of all the high-reliability industrial features with automatic code generation in LabVIEW , ANSI C , Microsoft Visual C + + , or Microsoft .NET Languages ( C # and Visual Basic .NET ) .","NI-DAQmx allows modules to be configured quickly and easily, leveraging the robust capabilities of NI LabVIEW, ANSI C, Microsoft Visual C++, or Microsoft .NET (C# and Visual Basic .NET).","NI-DAQmx ermöglicht die schnelle und einfache Konfiguration von Modulen und nutzt die zuverlässigen Funktionen von NI LabVIEW , ANSI C , Microsoft Visual C + + oder Microsoft .NET ( C # und Visual Basic .NET ) .",to take it easy,
190,We do not pass on to third parties your personal data including your house address and E-Mail address without your express and at any time revocable consent .," We do not pass on your personal data, including your home address and e-mail address, to third parties without your express consent, which can be revoked at any time.",Wir geben Ihre personenbezogenen Daten einschließlich Ihrer Hausadresse und E-Mail-Adresse nicht ohne Ihre ausdrückliche und jederzeit widerrufliche Einwilligung an Dritte weiter .,to pass on,
191,We have already said it and we repeat : the European Union must not shrug off its responsibilities and pass them on to a country that does not apply appropriate standards in relation to the protection of fundamental rights ., We have said it before and we will say it again : the European Union must not shift its responsibility onto a country that does not apply the appropriate standards in terms of protecting fundamental rights .,"Wir sagten es bereits und wiederholen es noch einmal : Die Europäische Union darf ihre Verantwortung nicht auf ein Land abwälzen , das hinsichtlich des Schutzes der Grundrechte nicht die entsprechenden Standards anwendet .",to pass on,
192,The only way forward for any just society in this day and age should be to promote the policy that the Irish Government has endorsed ., The only option for any society committed to justice at this time is to support the policies advocated by the Irish Government.,"Die einzige Möglichkeit für jede der Gerechtigkeit verpflichtete Gesellschaft besteht in der heutigen Zeit darin , die von der irischen Regierung vertretene Politik zu unterstützen .",in this day and age,
193,"However , these imply a level of cost which we cannot pass on to our consumers ."," However, this entails certain costs that we cannot pass on to our consumers.","Das bringt allerdings bestimmte Kosten mit sich , die wir nicht auf unsere Verbraucher abwälzen können .",to pass on,
194,"If you wish to find an accomodation around the three most famous medical baths , please have a look on this list of hotels !","If you are looking for accommodation near one of the three most famous spas , please check our offer .","Wenn Sie eine Unterkunft in der Nähe eines der drei berühmtesten Heilbäder suchen , dann schaeune Sie bitte unseren Angebot an .",to have a look around,
195,It can probably seat about two hundred people . At Easter and in the summer we have a Satsang retreat here and along the way of my tour we have Retreat weeks at the community ., Exactly one year ago this satsang community emerged quite spontaneously and completely unexpectedly from a summer retreat.,Vor genau einem Jahr ist diese Satsangcommunity ziemlich spontan und völlig unerwartet aus einem Sommerretreat heraus entstanden .,have a seat .,
196,"My room was starting to show it &apos;s age , still very comfortable but a little rough around the edges .", There was no casual meal menu available to enjoy in the bar lounge. The only thing available was the restaurant menu at restaurant prices.,There was no casual meal menu available to enjoy in the bar lounge . The only thing available was the restaurant menu at restaurant prices .,to rough it,x
197,Pushing for clear labelling is the only way to convince our customers that food safety is top of our list ., Supporting clear labeling is the only way to convince our consumers that food safety is at the top of our list of priorities.,"Die Unterstützung einer klaren Etikettierung ist die einzige Möglichkeit , unsere Verbraucher davon zu überzeugen , daß die Unbedenklichkeit der Lebensmittel ganz oben auf unserer Prioritätenliste steht .",to clear the way,
198,"If you should discover within it a compelling disproof of one or more of the criticisms of the theory of evolution listed here , we request that you pass it on to us ."," Should it contain a compelling refutation of one or more of the criticisms of the theory of evolution listed here , we ask that you send them to us .","Sollte sich darin eine zwingende Widerlegung einer oder mehrerer der hier aufgeführten Kritikpunkte an der Evolutionstheorie vorfinden , so bitten wir Sie , uns diese zukommen zu lassen .",to pass on,
199,"Large groups will easily be able to pass the increase in prices of raw materials on to the consumer , in fact they are doing this already , but this will be much more difficult for local producers to do , and therefore the rise will penalise the more fragile SMEs most of all .","Large groups can easily pass commodity price increases on to consumers , and in fact they are already doing so , but it will be much more difficult for local producers to do so , so the most vulnerable SMEs in particular will be penalized by the price increase .","Große Gruppen können leicht die Teuerung der Rohstoffe auf den Verbraucher abwälzen , und sie tun es faktisch schon , doch für lokale Produzenten wird das sehr viel schwieriger sein , deshalb werden vor allem die besonders anfälligen KMU durch die Preiserhöhung bestraft .",to pass on,
200,"If you choose to change the amount of the standard raise amounts , our slider bar is your ticket to increasing the action !"," Of course, you can also adjust the increase amount individually using the slider.",Natürlich können Sie den Erhöhungsbetrag auch mit Hilfe des Schiebereglers individuell anpassen .,to raise the bar,x
201,"It gives a clear signal to our citizens that , despite a few accidents along the way , we have not ground to a halt .", It is a clear signal that we are sending to the citizens so that they know that despite the accidents on the way here we have not stopped.,"Es ist ein deutliches Signal , das wir den Bürgern senden , damit sie wissen , dass wir trotz der Unfälle auf dem Weg hierher nicht stehen geblieben sind .",to clear the way,
202,"Since it is an important question and the lack of a response could give rise to misunderstandings , I shall pass on to the House the details that the Council secretariat has just given me ."," Since this is an important question and not answering it could lead to misunderstandings , I will present to the House the answer I have just received from the Council Secretariat .","Da es sich doch um eine wichtige Frage handelt und eine Nichtbeantwortung zu Missverständnissen führen könnte , werde ich dem Hohen Haus die Antwort vortragen , die ich soeben vom Sekretariat des Rates erhalten habe .",to pass on,
203,"Whenever we go to a West African country , we can see the extent to which French influence is still present there ."," Every time we go to West African countries, we realize how great the French influence is there.","Jedes Mal , wenn wir in westafrikanische Länder kommen , stellen wir fest , wie groß der französische Einfluss dort noch ist .",to go west,
204,"You know &apos; close the door &apos; to evil , with the arms of well !"," É saber «fechar a porta» ao mal, com as armas do bem!","É saber « fechar a porta » ao mal , com as armas do bem !",to close the door,x
205,"Special requests : We can pass on any special requests that you may wish to make at the time of booking , but acceptance of such requests is at the discretion of the airline or other supplier and in no circumstances are special requests guaranteed .","Individual inquiries: If you have any special requests at the time of booking, we will be happy to forward them to the relevant departments. However, the implementation of these requests is in the hands of the airline or the respective service provider, which is why we under no circumstances guarantee that these requests will be fulfilled.","Individuelle Anfragen : Sollten Sie zur Zeit der Buchung besondere Wünsche hegen , leiten wir diese gerne für Sie an die entsprechenden Stellen weiter . Die Umsetzung dieser Bitten liegt jedoch in den Händen der Fluggesellschaft bzw dem jeweiligen Dienstleister , weshalb wir unter keinerlei Umständen die Erfüllung dieser Wünsche garantieren .",to pass on,
206,For the most part the construction elements business was able to pass on higher starting material prices thanks to improved building activity in Europe and especially in Germany .," Thanks to improved construction activity in Europe and especially in Germany , the construction elements area was able to pass on the higher raw material prices to the market .",Der Bereich Bauelemente konnte die höheren Vormaterialpreise dank der verbesserten Baukonjunktur in Europa und insbesondere in Deutschland weitestgehend an den Markt weitergeben .,to pass on,
207,The ECB ’ s latest program of bond purchases will be big enough to ensure that Draghi does not lose face ., The ECB 's latest bond buyback program will be big enough not to make Draghi lose face .,"Das neueste Anleihenrückkaufprogramm der EZB wird groß genug sein , um Draghi nicht sein Gesicht verlieren zu lassen .",to lose face,
208,"14 And it came to pass that the Lamanites had compassion on them , for they were charmed with the beauty of their women .","14 And it came to pass that the Lamanites had pity on them, for they were amazed at the beauty of their wives.","14 Und es begab sich : Die Lamaniten hatten Mitleid mit ihnen , denn sie waren von der Schönheit ihrer Frauen angetan .",to pass on,
